# # Once                                                         FEFF 9.9.1  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=28 Rmt= 1.329 Rnm= 1.367 K  shell
# # Pot 1 Z=28 Rmt= 1.346 Rnm= 1.388
# # Gam_ch=1.576E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.810E+01eV kf=2.027E+00 Vint=-2.626E+01eV Rs_int= 1.789
# # PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.4974
#           2       0.00000     23.33      6.00     2   3.5319
#           3       0.00000     13.44     48.00     3   3.7461
#           4       0.00000      9.61     48.00     3   4.2634
#           5       0.00000     57.08     24.00     2   4.3257
#           6       0.00000     12.35     48.00     3   4.6603
#           7       0.00000     25.78     96.00     3   4.6603
#           8       0.00000     19.67     12.00     2   4.9949
#           9       0.00000      9.86     12.00     3   4.9949
#          10       0.00000     45.82     24.00     3   4.9949
#          11       0.00000      8.86     12.00     4   4.9949
#          12       0.00000      4.39     12.00     4   4.9949
#          14       0.00000     37.20     12.00     4   4.9949
#    13/  15 paths used
#  xsedge+50, used to normalize mu           2.6834E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    8377.548     17.340   3.050  9.41226E-01  9.89488E-01 -4.83940E-02
    8378.719     18.511   3.100  9.52052E-01  9.89750E-01 -3.77989E-02
    8379.910     19.702   3.150  9.68551E-01  9.90011E-01 -2.15169E-02
    8381.119     20.912   3.200  9.88498E-01  9.90273E-01 -1.77970E-03
    8382.348     22.140   3.250  1.00925E+00  9.90595E-01  1.86976E-02
    8383.596     23.388   3.300  1.03086E+00  9.90916E-01  4.00291E-02
    8384.863     24.655   3.350  1.05000E+00  9.91238E-01  5.88746E-02
    8386.149     25.941   3.400  1.06369E+00  9.91560E-01  7.22515E-02
    8387.453     27.246   3.450  1.07292E+00  9.92030E-01  8.10041E-02
    8388.777     28.570   3.500  1.07421E+00  9.92500E-01  8.17905E-02
    8390.120     29.913   3.550  1.06712E+00  9.92971E-01  7.41899E-02
    8391.483     31.275   3.600  1.05271E+00  9.93441E-01  5.92789E-02
    8392.864     32.656   3.650  1.03442E+00  9.94049E-01  4.03621E-02
    8394.264     34.056   3.700  1.01205E+00  9.94657E-01  1.73777E-02
    8395.683     35.475   3.750  9.88367E-01  9.95265E-01 -6.88818E-03
    8397.121     36.914   3.800  9.66225E-01  9.95873E-01 -2.95907E-02
    8398.579     38.371   3.850  9.47003E-01  9.96571E-01 -4.94418E-02
    8400.055     39.847   3.900  9.32425E-01  9.97270E-01 -6.46386E-02
    8401.550     41.343   3.950  9.23297E-01  9.97968E-01 -7.43863E-02
    8403.065     42.857   4.000  9.19462E-01  9.98666E-01 -7.88527E-02
    8404.598     44.391   4.050  9.19682E-01  9.99372E-01 -7.92862E-02
    8406.151     45.943   4.100  9.23287E-01  1.00008E+00 -7.63542E-02
    8407.723     47.515   4.150  9.28794E-01  1.00078E+00 -7.15355E-02
    8409.313     49.105   4.200  9.34813E-01  1.00149E+00 -6.62141E-02
    8410.923     50.715   4.250  9.41064E-01  1.00210E+00 -6.05784E-02
    8412.552     52.344   4.300  9.46874E-01  1.00271E+00 -5.53854E-02
    8414.200     53.992   4.350  9.52298E-01  1.00331E+00 -5.05815E-02
    8415.866     55.659   4.400  9.57884E-01  1.00392E+00 -4.56210E-02
    8417.552     57.345   4.450  9.65093E-01  1.00436E+00 -3.88993E-02
    8419.257     59.050   4.500  9.73975E-01  1.00480E+00 -3.05257E-02
    8420.981     60.774   4.550  9.85160E-01  1.00524E+00 -1.98777E-02
    8422.724     62.517   4.600  9.99014E-01  1.00568E+00 -6.59402E-03
    8424.487     64.279   4.650  1.01518E+00  1.00587E+00  9.21645E-03
    8426.268     66.060   4.700  1.03306E+00  1.00606E+00  2.67175E-02
    8428.068     67.860   4.750  1.05197E+00  1.00625E+00  4.52337E-02
    8429.887     69.679   4.800  1.07100E+00  1.00645E+00  6.38701E-02
    8431.726     71.518   4.850  1.08826E+00  1.00636E+00  8.10456E-02
    8433.583     73.375   4.900  1.10359E+00  1.00628E+00  9.63209E-02
    8435.459     75.252   4.950  1.11602E+00  1.00620E+00  1.08727E-01
    8437.355     77.147   5.000  1.12454E+00  1.00611E+00  1.17267E-01
    8439.269     79.061   5.050  1.12776E+00  1.00575E+00  1.20873E-01
    8441.203     80.995   5.100  1.12539E+00  1.00540E+00  1.18932E-01
    8443.155     82.948   5.150  1.11661E+00  1.00504E+00  1.10639E-01
    8445.127     84.919   5.200  1.10093E+00  1.00468E+00  9.54925E-02
    8447.118     86.910   5.250  1.07804E+00  1.00409E+00  7.34117E-02
    8449.128     88.920   5.300  1.04883E+00  1.00350E+00  4.50266E-02
    8451.156     90.949   5.350  1.01473E+00  1.00292E+00  1.17458E-02
    8453.204     92.997   5.400  9.77998E-01  1.00233E+00 -2.42047E-02
    8455.271     95.063   5.450  9.41260E-01  1.00156E+00 -6.00430E-02
    8457.357     97.149   5.500  9.08014E-01  1.00079E+00 -9.24619E-02
    8459.462     99.254   5.550  8.81342E-01  1.00003E+00 -1.18381E-01
    8461.586    101.378   5.600  8.63656E-01  9.99259E-01 -1.35373E-01
    8463.729    103.522   5.650  8.56396E-01  9.98401E-01 -1.41896E-01
    8465.892    105.684   5.700  8.59462E-01  9.97543E-01 -1.38104E-01
    8468.073    107.865   5.750  8.71267E-01  9.96686E-01 -1.25556E-01
    8470.273    110.065   5.800  8.89026E-01  9.95828E-01 -1.07019E-01
    8472.492    112.285   5.850  9.09544E-01  9.94943E-01 -8.56530E-02
    8474.731    114.523   5.900  9.29011E-01  9.94058E-01 -6.53019E-02
    8476.988    116.780   5.950  9.44744E-01  9.93173E-01 -4.86646E-02
    8479.265    119.057   6.000  9.55472E-01  9.92288E-01 -3.70302E-02
    8481.560    121.352   6.050  9.61808E-01  9.91505E-01 -2.98941E-02
    8483.875    123.667   6.100  9.65778E-01  9.90723E-01 -2.51312E-02
    8486.208    126.000   6.150  9.70872E-01  9.89940E-01 -1.92261E-02
    8488.561    128.353   6.200  9.80946E-01  9.89158E-01 -8.28611E-03
    8490.933    130.725   6.250  9.99218E-01  9.88375E-01  1.09502E-02
    8493.323    133.116   6.300  1.02731E+00  9.87593E-01  4.01399E-02
    8495.733    135.525   6.350  1.06453E+00  9.86810E-01  7.86162E-02
    8498.162    137.954   6.400  1.10762E+00  9.86028E-01  1.23105E-01
    8500.610    140.402   6.450  1.15103E+00  9.85246E-01  1.67980E-01
    8503.077    142.869   6.500  1.18767E+00  9.84463E-01  2.06062E-01
    8505.563    145.355   6.550  1.20958E+00  9.83878E-01  2.29018E-01
    8508.068    147.860   6.600  1.21066E+00  9.83293E-01  2.30839E-01
    8510.592    150.384   6.650  1.18739E+00  9.82708E-01  2.07934E-01
    8513.135    152.928   6.700  1.13987E+00  9.82123E-01  1.60343E-01
    8515.698    155.490   6.750  1.07207E+00  9.81538E-01  9.20798E-02
    8518.279    158.071   6.800  9.91516E-01  9.80953E-01  1.07495E-02
    8520.879    160.671   6.850  9.08167E-01  9.80368E-01 -7.35226E-02
    8523.498    163.291   6.900  8.32876E-01  9.79783E-01 -1.49685E-01
    8526.137    165.929   6.950  7.75576E-01  9.79198E-01 -2.07596E-01
    8528.794    168.587   7.000  7.43575E-01  9.78613E-01 -2.39768E-01
    8531.471    171.263   7.050  7.40898E-01  9.78055E-01 -2.42071E-01
    8534.166    173.959   7.100  7.65800E-01  9.77497E-01 -2.16209E-01
    8536.881    176.673   7.150  8.12532E-01  9.76939E-01 -1.68010E-01
    8539.615    179.407   7.200  8.72102E-01  9.76381E-01 -1.06626E-01
    8542.367    182.160   7.250  9.33939E-01  9.75823E-01 -4.28522E-02
    8545.139    184.931   7.300  9.87816E-01  9.75265E-01  1.28480E-02
    8547.930    187.722   7.350  1.02569E+00  9.74707E-01  5.22181E-02
    8550.740    190.532   7.400  1.04307E+00  9.74149E-01  7.06408E-02
    8553.569    193.361   7.450  1.03976E+00  9.73591E-01  6.78548E-02
    8556.417    196.209   7.500  1.01964E+00  9.73033E-01  4.78255E-02
    8559.284    199.076   7.550  9.89635E-01  9.72237E-01  1.78668E-02
    8562.170    201.962   7.600  9.58948E-01  9.71440E-01 -1.28389E-02
    8565.075    204.867   7.650  9.36161E-01  9.70643E-01 -3.54692E-02
    8567.999    207.791   7.700  9.27845E-01  9.69847E-01 -4.32400E-02
    8570.942    210.735   7.750  9.37264E-01  9.69050E-01 -3.27504E-02
    8573.905    213.697   7.800  9.63768E-01  9.68253E-01 -4.62478E-03
    8576.886    216.678   7.850  1.00298E+00  9.67457E-01  3.66594E-02
    8579.886    219.678   7.900  1.04770E+00  9.66660E-01  8.37049E-02
    8582.906    222.698   7.950  1.08938E+00  9.65863E-01  1.27685E-01
    8585.944    225.736   8.000  1.11980E+00  9.65067E-01  1.60082E-01
    8589.002    228.794   8.050  1.13210E+00  9.64077E-01  1.74028E-01
    8592.078    231.870   8.100  1.12361E+00  9.63087E-01  1.66445E-01
    8595.174    234.966   8.150  1.09488E+00  9.62097E-01  1.37825E-01
    8598.288    238.081   8.200  1.04984E+00  9.61107E-01  9.22017E-02
    8601.422    241.214   8.250  9.94995E-01  9.60117E-01  3.62829E-02
    8604.575    244.367   8.300  9.38113E-01  9.59127E-01 -2.18843E-02
    8607.747    247.539   8.350  8.86755E-01  9.58137E-01 -7.44204E-02
    8610.938    250.730   8.400  8.46972E-01  9.57147E-01 -1.14992E-01
    8614.148    253.940   8.450  8.22367E-01  9.56157E-01 -1.39793E-01
    8617.377    257.169   8.500  8.13710E-01  9.55168E-01 -1.47966E-01
    8620.625    260.417   8.550  8.19141E-01  9.54091E-01 -1.41321E-01
    8623.892    263.684   8.600  8.34735E-01  9.53015E-01 -1.24007E-01
