natx =      424
    x       y        z       iph  
      1.08718      6.49704     -1.88347   3      6.85135
      6.45554     -1.52796     -1.74531   3      6.85965
     -5.83227     -0.38092     -3.62879   3      6.87958
      0.44695     -1.52796     -6.70078   3      6.88729
      0.60040      5.19646      4.51760   2      6.91175
      0.42859      1.14704     -6.83893   3      6.94769
     -1.58782      6.49704     -1.88347   3      6.94839
     -1.78190     -0.22737      6.72000   2      6.95595
     -3.39179     -2.90238     -5.39333   2      7.00114
      1.77527     -0.19046     -6.76985   1      7.00134
      5.76746      2.48454      3.14107   1      7.02160
     -5.77408      2.52146     -3.19092   2      7.06256
     -1.84009      2.67500      6.28214   3      7.07155
     -1.84009     -2.67500      6.28214   3      7.07155
      3.09246     -5.54046      3.14107   1      7.07999
     -6.27923      1.14704      3.07199   3      7.08389
      4.63321     -0.15354     -5.39333   2      7.11184
     -3.09908     -5.57737     -3.19092   2      7.13396
      0.60040     -5.50354      4.51760   2      7.14550
      5.76746     -2.86546      3.14107   1      7.16524
     -5.77408     -2.82855     -3.19092   2      7.17793
      1.10554     -6.87796     -1.74531   3      7.18155
      4.69141      2.29408     -4.95546   3      7.19922
     -4.69141      2.29408      4.95546   3      7.19922
     -6.26086     -1.52796      3.21015   3      7.19987
     -2.22805     -1.52796     -6.70078   3      7.22491
      0.89311      2.52146      6.72000   2      7.23283
     -0.92922      6.49704      3.07199   3      7.24652
     -0.89973      2.48454     -6.76985   1      7.26728
     -1.56946     -6.87796     -1.74531   3      7.26744
     -6.93782      1.14704     -1.88347   3      7.27987
     -2.24641      1.14704     -6.83893   3      7.28924
     -6.91946     -1.52796     -1.74531   3      7.29792
      0.89311     -2.82855      6.72000   2      7.34553
      1.74578      6.49704      3.07199   3      7.39570
     -0.89973     -2.86546     -6.76985   1      7.40617
     -5.11549      5.12263      1.76454   2      7.45138
      5.95040     -0.15354      4.51760   2      7.47258
      4.69141     -3.05592     -4.95546   3      7.47693
     -4.69141     -3.05592      4.95546   3      7.47693
      5.10886      5.15954     -1.81439   1      7.48421
     -0.71679      5.19646     -5.39333   2      7.52362
      3.12195     -1.52796     -6.70078   3      7.54862
      5.35000      5.35000      0.00000   3      7.56604
      5.35000     -5.35000      0.00000   3      7.56604
     -5.35000      5.35000      0.00000   3      7.56604
     -5.35000     -5.35000      0.00000   3      7.56604
     -2.01641      5.35000      4.95546   3      7.56604
     -2.01641     -5.35000      4.95546   3      7.56604
      2.01641      5.35000     -4.95546   3      7.56604
      2.01641     -5.35000     -4.95546   3      7.56604
      3.10359      1.14704     -6.83893   3      7.59730
      3.56811     -0.22737      6.72000   2      7.61193
     -0.91086     -6.87796      3.21015   3      7.64467
     -3.57473     -0.19046     -6.76985   1      7.65806
      3.50991      2.67500      6.28214   3      7.67726
      3.50991     -2.67500      6.28214   3      7.67726
      6.45554      3.82204     -1.74531   3      7.70248
      0.44695      3.82204     -6.70078   3      7.72711
     -0.71679     -5.50354     -5.39333   2      7.73891
      3.76218      6.49704     -1.88347   3      7.74035
     -4.51509     -0.38092      6.28214   3      7.74573
      5.10886     -5.54046     -1.81439   1      7.75172
     -5.11549     -5.57737      1.76454   2      7.77103
      5.58451      5.12263      1.76454   2      7.78085
      1.76414     -6.87796      3.21015   3      7.79253
     -0.05819      7.79763     -0.43787   2      7.81013
      7.09577      1.14704      3.07199   3      7.81683
     -5.59114      5.15954     -1.81439   1      7.82136
      4.86773      4.96908     -3.62879   3      7.84567
      6.43718     -4.20296     -1.88347   3      7.91515
      7.11414     -1.52796      3.21015   3      7.95303
     -7.84868     -0.38092      1.32668   3      7.96913
      7.96681     -0.15354     -0.43787   2      7.98031
     -4.26282      6.49704     -1.88347   3      7.99566
     -6.26086      3.82204      3.21015   3      8.00696
      3.33359      5.35000      4.95546   3      8.01823
      3.33359     -5.35000      4.95546   3      8.01823
     -3.33359     -5.35000     -4.95546   3      8.01823
     -3.33359      5.35000     -4.95546   3      8.01823
     -2.22805      3.82204     -6.70078   3      8.02948
      0.42859     -4.20296     -6.83893   3      8.03863
     -3.60423      6.49704      3.07199   3      8.03984
      3.78054     -6.87796     -1.74531   3      8.04021
      0.83491      4.96908      6.28214   3      8.05320
     -5.59114     -5.54046     -1.81439   1      8.07772
      5.58451     -5.57737      1.76454   2      8.08749
     -6.91946      3.82204     -1.74531   3      8.09524
     -8.08319     -0.15354     -0.43787   2      8.09650
      2.67500      7.64408      0.00000   3      8.09862
     -2.67500      7.64408      0.00000   3      8.09862
     -0.27063      1.14704      8.02745   3      8.11350
     -6.06679     -0.15354     -5.39333   2      8.11896
     -6.00859      2.29408     -4.95546   3      8.11927
      6.00859      2.29408      4.95546   3      8.11927
      0.17632      8.02500      1.32668   3      8.13583
      0.17632     -8.02500      1.32668   3      8.13583
     -6.27923     -4.20296      3.07199   3      8.15663
      1.07605     -0.19046      8.09653   1      8.16994
     -1.08267     -0.22737     -8.14638   2      8.22116
     -7.60754     -0.19046      3.14107   1      8.23270
      7.60092     -0.22737     -3.19092   2      8.24667
     -0.05819     -8.25238     -0.43787   2      8.26419
     -4.24446     -6.87796     -1.74531   3      8.26849
     -0.25227     -1.52796      8.16561   3      8.31117
      8.20132     -0.38092      1.32668   3      8.31666
      3.12195      3.82204     -6.70078   3      8.32196
     -6.93782     -4.20296     -1.88347   3      8.32740
     -2.24641     -4.20296     -6.83893   3      8.33560
      8.02500      2.29408      0.00000   3      8.34646
     -8.02500      2.29408      0.00000   3      8.34646
      4.86773     -5.73092     -3.62879   3      8.34903
     -4.74960      5.19646      4.51760   2      8.36484
     -6.00859     -3.05592     -4.95546   3      8.36651
      6.00859     -3.05592      4.95546   3      8.36651
      7.78386      2.48454     -1.81439   1      8.36980
     -7.79049      2.52146      1.76454   2      8.37634
     -3.58586     -6.87796      3.21015   3      8.39463
      2.43386      7.83454     -1.81439   1      8.40213
     -2.44049      7.87146      1.76454   2      8.42789
      4.42077      6.49704      3.07199   3      8.43753
     -4.90305     -1.52796     -6.70078   3      8.44245
     -4.45690      2.52146      6.72000   2      8.44867
      0.41746      7.83454      3.14107   1      8.45107
      2.40437      1.14704      8.02745   3      8.45794
     -7.79049     -2.82855      1.76454   2      8.47384
      4.45027      2.48454     -6.76985   1      8.47401
     -5.83227      4.96908     -3.62879   3      8.47793
      7.78386     -2.86546     -1.81439   1      8.49067
     -4.92141      1.14704     -6.83893   3      8.50335
     -0.42408      7.87146     -3.19092   2      8.50421
      0.83491     -5.73092      6.28214   3      8.54434
     -4.45690     -2.82855      6.72000   2      8.54535
     -2.91614      7.83454     -1.81439   1      8.55429
     -4.74960     -5.50354      4.51760   2      8.55899
      2.90951      7.87146      1.76454   2      8.57547
      8.02500     -3.05592      0.00000   3      8.58716
     -8.02500     -3.05592      0.00000   3      8.58716
      4.45027     -2.86546     -6.76985   1      8.59341
      3.10359     -4.20296     -6.83893   3      8.60629
     -1.59895      2.48454      8.09653   1      8.61878
     -2.94563      1.14704      8.02745   3      8.62742
     -1.78190      5.12263      6.72000   2      8.63567
      2.42273     -1.52796      8.16561   3      8.65341
      1.59233      2.52146     -8.14638   2      8.67507
      7.11414      3.82204      3.21015   3      8.69045
      1.77527      5.15954     -6.76985   1      8.69502
     -2.44049     -8.17854      1.76454   2      8.71540
      1.53413     -0.38092     -8.58425   3      8.72857
     -1.59895     -2.86546      8.09653   1      8.73621
      2.43386     -8.21546     -1.81439   1      8.75840
