# 2Theta    Intensity
1.0333e+00  6.3654e+01
1.0385e+00  6.3929e+01
1.0437e+00  6.3799e+01
1.0488e+00  6.3646e+01
1.0540e+00  6.3445e+01
1.0592e+00  6.3522e+01
1.0644e+00  6.3331e+01
1.0696e+00  6.3377e+01
1.0747e+00  6.3274e+01
1.0799e+00  6.2916e+01
1.0851e+00  6.2861e+01
1.0903e+00  6.2721e+01
1.0955e+00  6.2718e+01
1.1006e+00  6.2404e+01
1.1058e+00  6.2499e+01
1.1110e+00  6.2276e+01
1.1162e+00  6.1929e+01
1.1214e+00  6.2127e+01
1.1265e+00  6.2101e+01
1.1317e+00  6.1826e+01
1.1369e+00  6.1890e+01
1.1421e+00  6.1740e+01
1.1472e+00  6.1726e+01
1.1524e+00  6.1841e+01
1.1576e+00  6.1615e+01
1.1628e+00  6.1266e+01
1.1680e+00  6.1316e+01
1.1731e+00  6.1437e+01
1.1783e+00  6.1117e+01
1.1835e+00  6.1465e+01
1.1887e+00  6.1204e+01
1.1939e+00  6.1150e+01
1.1990e+00  6.1265e+01
1.2042e+00  6.1168e+01
1.2094e+00  6.1227e+01
1.2146e+00  6.1160e+01
1.2197e+00  6.1201e+01
1.2249e+00  6.1176e+01
1.2301e+00  6.1090e+01
1.2353e+00  6.1273e+01
1.2405e+00  6.0889e+01
1.2456e+00  6.1300e+01
1.2508e+00  6.1260e+01
1.2560e+00  6.1478e+01
1.2612e+00  6.1432e+01
1.2664e+00  6.1585e+01
1.2715e+00  6.1835e+01
1.2767e+00  6.1915e+01
1.2819e+00  6.2109e+01
1.2871e+00  6.2194e+01
1.2922e+00  6.2321e+01
1.2974e+00  6.2345e+01
1.3026e+00  6.2867e+01
1.3078e+00  6.2853e+01
1.3130e+00  6.3063e+01
1.3181e+00  6.3403e+01
1.3233e+00  6.3241e+01
1.3285e+00  6.3618e+01
1.3337e+00  6.3573e+01
1.3389e+00  6.4163e+01
1.3440e+00  6.3830e+01
1.3492e+00  6.3908e+01
1.3544e+00  6.3910e+01
1.3596e+00  6.4087e+01
1.3647e+00  6.3864e+01
1.3699e+00  6.3542e+01
1.3751e+00  6.3455e+01
1.3803e+00  6.3498e+01
1.3855e+00  6.3030e+01
1.3906e+00  6.3241e+01
1.3958e+00  6.2739e+01
1.4010e+00  6.2918e+01
1.4062e+00  6.2588e+01
1.4113e+00  6.2525e+01
1.4165e+00  6.2305e+01
1.4217e+00  6.2166e+01
1.4269e+00  6.1916e+01
1.4321e+00  6.2070e+01
1.4372e+00  6.1723e+01
1.4424e+00  6.1617e+01
1.4476e+00  6.1695e+01
1.4528e+00  6.1574e+01
1.4579e+00  6.1641e+01
1.4631e+00  6.1462e+01
1.4683e+00  6.1372e+01
1.4735e+00  6.1363e+01
1.4787e+00  6.1397e+01
1.4838e+00  6.1252e+01
1.4890e+00  6.1094e+01
1.4942e+00  6.0941e+01
1.4994e+00  6.0881e+01
1.5045e+00  6.0679e+01
1.5097e+00  6.0745e+01
1.5149e+00  6.0915e+01
1.5201e+00  6.0558e+01
1.5253e+00  6.0260e+01
1.5304e+00  6.0434e+01
1.5356e+00  6.0288e+01
1.5408e+00  6.0231e+01
1.5460e+00  6.0236e+01
1.5511e+00  6.0015e+01
1.5563e+00  6.0035e+01
1.5615e+00  5.9925e+01
1.5667e+00  5.9824e+01
1.5719e+00  5.9849e+01
1.5770e+00  5.9633e+01
1.5822e+00  5.9936e+01
1.5874e+00  5.9705e+01
1.5926e+00  5.9743e+01
1.5977e+00  5.9769e+01
1.6029e+00  5.9894e+01
1.6081e+00  5.9741e+01
1.6133e+00  5.9729e+01
1.6184e+00  5.9813e+01
1.6236e+00  5.9654e+01
1.6288e+00  5.9936e+01
1.6340e+00  5.9853e+01
1.6392e+00  6.0020e+01
1.6443e+00  5.9966e+01
1.6495e+00  5.9744e+01
1.6547e+00  6.0170e+01
1.6599e+00  6.0309e+01
1.6650e+00  6.0211e+01
1.6702e+00  6.0336e+01
1.6754e+00  6.0453e+01
1.6806e+00  6.0264e+01
1.6857e+00  6.0433e+01
1.6909e+00  6.0559e+01
1.6961e+00  6.0706e+01
1.7013e+00  6.0517e+01
1.7065e+00  6.0432e+01
1.7116e+00  6.0639e+01
1.7168e+00  6.0876e+01
1.7220e+00  6.0529e+01
1.7272e+00  6.0999e+01
1.7323e+00  6.0719e+01
1.7375e+00  6.0739e+01
1.7427e+00  6.0993e+01
1.7479e+00  6.0793e+01
1.7530e+00  6.0936e+01
1.7582e+00  6.1042e+01
1.7634e+00  6.1359e+01
1.7686e+00  6.0918e+01
1.7738e+00  6.1011e+01
1.7789e+00  6.0918e+01
1.7841e+00  6.1136e+01
1.7893e+00  6.1059e+01
1.7945e+00  6.1061e+01
1.7996e+00  6.1033e+01
1.8048e+00  6.0952e+01
1.8100e+00  6.0934e+01
1.8152e+00  6.0903e+01
1.8203e+00  6.0727e+01
1.8255e+00  6.0550e+01
1.8307e+00  6.0208e+01
1.8359e+00  6.0547e+01
1.8410e+00  6.0388e+01
1.8462e+00  6.0124e+01
1.8514e+00  6.0021e+01
1.8566e+00  5.9817e+01
1.8618e+00  5.9946e+01
1.8669e+00  5.9696e+01
1.8721e+00  5.9774e+01
1.8773e+00  5.9603e+01
1.8825e+00  5.9729e+01
1.8876e+00  5.9326e+01
1.8928e+00  5.9476e+01
1.8980e+00  5.9592e+01
1.9032e+00  5.9605e+01
1.9083e+00  5.9751e+01
1.9135e+00  5.9678e+01
1.9187e+00  5.9403e+01
1.9239e+00  5.9587e+01
1.9290e+00  5.9702e+01
1.9342e+00  5.9620e+01
1.9394e+00  5.9775e+01
1.9446e+00  5.9796e+01
1.9497e+00  6.0031e+01
1.9549e+00  6.0063e+01
1.9601e+00  5.9893e+01
1.9653e+00  5.9857e+01
1.9704e+00  5.9991e+01
1.9756e+00  5.9937e+01
1.9808e+00  5.9799e+01
1.9860e+00  5.9977e+01
1.9911e+00  5.9878e+01
1.9963e+00  5.9885e+01
2.0015e+00  5.9654e+01
2.0067e+00  5.9496e+01
2.0118e+00  5.9699e+01
2.0170e+00  5.9628e+01
2.0222e+00  5.9575e+01
2.0274e+00  5.9290e+01
2.0325e+00  5.9081e+01
2.0377e+00  5.8978e+01
2.0429e+00  5.9077e+01
2.0481e+00  5.9029e+01
2.0532e+00  5.8830e+01
2.0584e+00  5.8535e+01
2.0636e+00  5.8933e+01
2.0688e+00  5.8626e+01
2.0740e+00  5.8445e+01
2.0791e+00  5.8500e+01
2.0843e+00  5.8477e+01
2.0895e+00  5.8357e+01
2.0947e+00  5.8424e+01
2.0998e+00  5.8625e+01
2.1050e+00  5.8499e+01
2.1102e+00  5.8190e+01
2.1153e+00  5.8469e+01
2.1205e+00  5.8232e+01
2.1257e+00  5.8171e+01
2.1309e+00  5.8110e+01
2.1360e+00  5.8128e+01
2.1412e+00  5.8048e+01
2.1464e+00  5.7982e+01
2.1516e+00  5.8177e+01
2.1567e+00  5.7863e+01
2.1619e+00  5.7862e+01
2.1671e+00  5.7666e+01
2.1723e+00  5.7769e+01
2.1774e+00  5.7453e+01
2.1826e+00  5.7501e+01
2.1878e+00  5.7540e+01
2.1930e+00  5.7459e+01
2.1981e+00  5.7459e+01
2.2033e+00  5.7480e+01
2.2085e+00  5.7380e+01
2.2137e+00  5.7293e+01
2.2188e+00  5.7413e+01
2.2240e+00  5.7198e+01
2.2292e+00  5.7246e+01
2.2344e+00  5.7149e+01
2.2395e+00  5.7045e+01
2.2447e+00  5.7163e+01
2.2499e+00  5.7049e+01
2.2551e+00  5.7180e+01
2.2602e+00  5.6811e+01
2.2654e+00  5.7168e+01
2.2706e+00  5.7409e+01
2.2758e+00  5.7824e+01
2.2809e+00  5.8378e+01
2.2861e+00  5.8138e+01
2.2913e+00  5.7484e+01
2.2964e+00  5.6921e+01
2.3016e+00  5.6550e+01
2.3068e+00  5.6365e+01
2.3120e+00  5.6507e+01
2.3171e+00  5.6341e+01
2.3223e+00  5.6311e+01
2.3275e+00  5.5997e+01
2.3327e+00  5.6218e+01
2.3378e+00  5.6146e+01
2.3430e+00  5.5674e+01
2.3482e+00  5.5826e+01
2.3534e+00  5.5883e+01
2.3585e+00  5.5744e+01
2.3637e+00  5.5790e+01
2.3689e+00  5.5601e+01
2.3741e+00  5.5550e+01
2.3792e+00  5.5639e+01
2.3844e+00  5.5595e+01
2.3896e+00  5.5528e+01
2.3947e+00  5.5333e+01
2.3999e+00  5.5322e+01
2.4051e+00  5.5285e+01
2.4103e+00  5.5306e+01
2.4154e+00  5.5216e+01
2.4206e+00  5.5628e+01
2.4258e+00  5.5880e+01
2.4310e+00  5.6410e+01
2.4361e+00  5.6133e+01
2.4413e+00  5.5874e+01
2.4465e+00  5.5413e+01
2.4516e+00  5.4959e+01
2.4568e+00  5.4913e+01
2.4620e+00  5.5053e+01
2.4672e+00  5.4889e+01
2.4723e+00  5.4994e+01
2.4775e+00  5.5258e+01
2.4827e+00  5.4964e+01
2.4879e+00  5.4907e+01
2.4930e+00  5.4907e+01
2.4982e+00  5.4972e+01
2.5034e+00  5.4753e+01
2.5085e+00  5.4965e+01
2.5137e+00  5.5210e+01
2.5189e+00  5.5308e+01
2.5241e+00  5.5541e+01
2.5292e+00  5.6033e+01
2.5344e+00  5.6205e+01
2.5396e+00  5.6386e+01
2.5448e+00  5.7130e+01
2.5499e+00  5.7936e+01
2.5551e+00  6.0008e+01
2.5603e+00  6.4473e+01
2.5654e+00  8.3790e+01
2.5706e+00  1.5267e+02
2.5758e+00  3.4183e+02
2.5810e+00  7.3763e+02
2.5861e+00  1.0497e+03
2.5913e+00  9.2267e+02
2.5965e+00  4.9488e+02
2.6016e+00  1.9289e+02
2.6068e+00  9.1232e+01
2.6120e+00  6.7162e+01
2.6172e+00  6.0849e+01
2.6223e+00  5.8448e+01
2.6275e+00  5.7210e+01
2.6327e+00  5.6222e+01
2.6378e+00  5.5773e+01
2.6430e+00  5.5195e+01
2.6482e+00  5.4801e+01
2.6534e+00  5.4683e+01
2.6585e+00  5.4345e+01
2.6637e+00  5.4205e+01
2.6689e+00  5.3877e+01
2.6740e+00  5.3668e+01
2.6792e+00  5.3258e+01
2.6844e+00  5.3239e+01
2.6896e+00  5.3102e+01
2.6947e+00  5.2865e+01
2.6999e+00  5.3002e+01
2.7051e+00  5.3102e+01
2.7102e+00  5.3028e+01
2.7154e+00  5.2959e+01
2.7206e+00  5.2654e+01
2.7258e+00  5.2442e+01
2.7309e+00  5.2953e+01
2.7361e+00  5.3228e+01
2.7413e+00  5.3351e+01
2.7464e+00  5.3756e+01
2.7516e+00  5.3580e+01
2.7568e+00  5.3454e+01
2.7619e+00  5.2972e+01
2.7671e+00  5.2233e+01
2.7723e+00  5.1513e+01
2.7775e+00  5.1223e+01
2.7826e+00  5.0979e+01
2.7878e+00  5.0619e+01
2.7930e+00  5.0500e+01
2.7981e+00  5.0635e+01
2.8033e+00  5.0621e+01
2.8085e+00  5.0800e+01
2.8137e+00  5.0862e+01
2.8188e+00  5.1431e+01
