natx =      268
    x       y        z       iph  
      0.00000      0.00000      0.00000   0      0.00000
     -1.32832     -1.33750      0.06908   1      1.88630
      1.34668      1.33750      0.06908   1      1.89927
      1.16374     -1.37441     -1.30745   2      2.22547
     -1.14538      1.30059      1.44561   2      2.25681
     -1.51126      1.37441     -1.30745   2      2.42536
     -1.08718     -1.14704      1.88347   3      2.45869
      1.52963     -1.30059      1.44561   2      2.47408
      1.10554      1.52796     -1.74531   3      2.56963
      2.67500      0.00000      0.00000   3      2.67500
     -2.67500      0.00000      0.00000   3      2.67500
      0.01836      2.67500      0.13816   3      2.67863
      0.01836     -2.67500      0.13816   3      2.67863
      1.58782      1.14704      1.88347   3      2.71741
     -1.56946     -1.52796     -1.74531   3      2.80071
      0.92922     -1.14704     -3.07199   3      3.40827
     -0.91086      1.52796      3.21015   3      3.67007
     -1.74578      1.14704     -3.07199   3      3.71491
     -2.65664      2.67500      0.13816   3      3.77259
     -2.65664     -2.67500      0.13816   3      3.77259
      2.69336      2.67500      0.13816   3      3.79854
      2.69336     -2.67500      0.13816   3      3.79854
      0.87103      1.30059     -3.50985   2      3.84308
      1.76414     -1.52796      3.21015   3      3.96887
     -0.85267     -1.37441      3.64801   2      3.99050
     -1.80397     -1.30059     -3.50985   2      4.15511
     -4.00332      1.33750      0.06908   1      4.22140
     -1.32832      4.01250      0.06908   1      4.22722
      1.34668     -4.01250      0.06908   1      4.23302
      4.02168     -1.33750      0.06908   1      4.23882
      3.83874      1.37441     -1.30745   2      4.28186
     -3.82037     -1.30059      1.44561   2      4.28679
      1.82233      1.37441      3.64801   2      4.30324
      1.16374      3.97559     -1.30745   2      4.34384
      1.10554     -3.82204     -1.74531   3      4.34469
     -3.76218      1.14704      1.88347   3      4.36087
      3.78054     -1.52796     -1.74531   3      4.43546
     -1.51126     -3.97559     -1.30745   2      4.44956
     -1.14538     -4.04941      1.44561   2      4.44965
     -1.56946      3.82204     -1.74531   3      4.48523
      1.52963      4.04941      1.44561   2      4.56369
     -4.18626     -1.37441     -1.30745   2      4.59600
      4.20463      1.30059      1.44561   2      4.63251
