 # r       w_scrn(r)      v_ch(r)
    0.2472352175E-01    0.2139152496E+02    0.2386067836E+02
    0.2599112382E-01    0.2102460292E+02    0.2349373318E+02
    0.2732371724E-01    0.2064015763E+02    0.2310926383E+02
    0.2872463418E-01    0.2023828460E+02    0.2270736581E+02
    0.3019737766E-01    0.1981920171E+02    0.2228825703E+02
    0.3174563032E-01    0.1938325784E+02    0.2185228633E+02
    0.3337326359E-01    0.1893093999E+02    0.2139994075E+02
    0.3508434741E-01    0.1846287915E+02    0.2093185118E+02
    0.3688316037E-01    0.1797985393E+02    0.2044879623E+02
    0.3877420044E-01    0.1748279236E+02    0.1995170374E+02
    0.4076219620E-01    0.1697277073E+02    0.1944164991E+02
    0.4285211869E-01    0.1645101020E+02    0.1891985556E+02
    0.4504919380E-01    0.1591886973E+02    0.1838767941E+02
    0.4735891536E-01    0.1537783678E+02    0.1784660826E+02
    0.4978705887E-01    0.1482951369E+02    0.1729824398E+02
    0.5233969597E-01    0.1427560230E+02    0.1674428731E+02
    0.5502320956E-01    0.1371788405E+02    0.1618651877E+02
    0.5784430984E-01    0.1315819920E+02    0.1562677680E+02
    0.6081005103E-01    0.1259842168E+02    0.1506693372E+02
    0.6392784901E-01    0.1204043470E+02    0.1450886988E+02
    0.6720549992E-01    0.1148610242E+02    0.1395444673E+02
    0.7065119958E-01    0.1093724464E+02    0.1340547964E+02
    0.7427356405E-01    0.1039560815E+02    0.1286371106E+02
    0.7808165111E-01    0.9862843821E+01    0.1233078509E+02
    0.8208498297E-01    0.9340480908E+01    0.1180822423E+02
    0.8629357004E-01    0.8829910005E+01    0.1129740896E+02
    0.9071793599E-01    0.8332363300E+01    0.1079956115E+02
    0.9536914403E-01    0.7848906291E+01    0.1031573146E+02
    0.1002588246E+00    0.7380426106E+01    0.9846791546E+01
    0.1053992045E+00    0.6927633609E+01    0.9393430846E+01
    0.1108031372E+00    0.6491060357E+01    0.8956158212E+01
    0.1164841356E+00    0.6071071118E+01    0.8535307947E+01
    0.1224564049E+00    0.5667868375E+01    0.8131049874E+01
    0.1287348790E+00    0.5281513487E+01    0.7743402756E+01
    0.1353352574E+00    0.4911936126E+01    0.7372250319E+01
    0.1422740444E+00    0.4558961122E+01    0.7017359035E+01
    0.1495685907E+00    0.4222319550E+01    0.6678396787E+01
    0.1572371363E+00    0.3901677575E+01    0.6354951598E+01
    0.1652988567E+00    0.3596645997E+01    0.6046549687E+01
    0.1737739103E+00    0.3306807807E+01    0.5752672237E+01
    0.1826834892E+00    0.3031724054E+01    0.5472770424E+01
    0.1920498720E+00    0.2770957357E+01    0.5206278419E+01
