natx =      151
    x       y        z       iph  
     -3.72080     -7.98275      0.00000   2      8.80731
      3.25570     -6.49975     -5.29800   2      8.99528
     -3.25570      6.49975     -5.29800   2      8.99528
     -6.04630     -6.49975     -1.76600   2      9.05114
     -6.04630     -6.49975      1.76600   2      9.05114
      6.04630      6.49975     -1.76600   2      9.05114
      6.04630      6.49975      1.76600   2      9.05114
     -2.32550     -8.68950     -1.76600   1      9.16701
     -2.32550     -8.68950      1.76600   1      9.16701
      2.32550     -8.68950     -1.76600   1      9.16701
      2.32550     -8.68950      1.76600   1      9.16701
     -6.97650     -2.89650     -5.29800   1      9.22660
     -6.97650      2.89650     -5.29800   1      9.22660
      3.72080      7.98275      3.53200   2      9.48914
      3.72080      7.98275     -3.53200   2      9.48914
     -3.72080     -7.98275      3.53200   2      9.48914
     -3.72080     -7.98275     -3.53200   2      9.48914
     -6.04630      5.08625     -5.29800   2      9.51297
      6.04630     -5.08625     -5.29800   2      9.51297
     -5.58120      7.98275      0.00000   2      9.74034
      5.58120     -7.98275      0.00000   2      9.74034
