# 2Theta    Intensity
1.2005e+00  1.5810e+01
1.2066e+00  1.6475e+01
1.2126e+00  1.6419e+01
1.2187e+00  1.6141e+01
1.2247e+00  1.6318e+01
1.2308e+00  1.6459e+01
1.2368e+00  1.6645e+01
1.2429e+00  1.6690e+01
1.2489e+00  1.6659e+01
1.2550e+00  1.7309e+01
1.2610e+00  1.6542e+01
1.2671e+00  1.7057e+01
1.2731e+00  1.7018e+01
1.2792e+00  1.6847e+01
1.2852e+00  1.7304e+01
1.2913e+00  1.7123e+01
1.2973e+00  1.7327e+01
1.3034e+00  1.7506e+01
1.3094e+00  1.7485e+01
1.3155e+00  1.7671e+01
1.3215e+00  1.7739e+01
1.3276e+00  1.7858e+01
1.3336e+00  1.7981e+01
1.3397e+00  1.8423e+01
1.3457e+00  1.8474e+01
1.3518e+00  1.8152e+01
1.3578e+00  1.8403e+01
1.3639e+00  1.7167e+01
1.3699e+00  1.7587e+01
1.3760e+00  1.7808e+01
1.3820e+00  1.8186e+01
1.3881e+00  1.8180e+01
1.3941e+00  1.7646e+01
1.4002e+00  1.8481e+01
1.4062e+00  1.8050e+01
1.4123e+00  1.7857e+01
1.4183e+00  1.8065e+01
1.4244e+00  1.7975e+01
1.4304e+00  1.7588e+01
1.4365e+00  1.8199e+01
1.4425e+00  1.7732e+01
1.4486e+00  1.7359e+01
1.4546e+00  1.8034e+01
1.4607e+00  1.7762e+01
1.4667e+00  1.7708e+01
1.4728e+00  1.7685e+01
1.4788e+00  1.7630e+01
1.4849e+00  1.7733e+01
1.4909e+00  1.7196e+01
1.4970e+00  1.7184e+01
1.5030e+00  1.7989e+01
1.5091e+00  1.7303e+01
1.5151e+00  1.8083e+01
1.5212e+00  1.7551e+01
1.5272e+00  1.7625e+01
1.5333e+00  1.7153e+01
1.5393e+00  1.7584e+01
1.5454e+00  1.7396e+01
1.5514e+00  1.7448e+01
1.5575e+00  1.7474e+01
1.5635e+00  1.7584e+01
1.5695e+00  1.7422e+01
1.5756e+00  1.7274e+01
1.5816e+00  1.6956e+01
