# 2Theta    Intensity
1.3634e+00  1.0416e+01
1.3703e+00  1.0535e+01
1.3771e+00  1.0380e+01
1.3839e+00  1.0389e+01
1.3908e+00  1.0581e+01
1.3976e+00  1.0266e+01
1.4044e+00  1.0283e+01
1.4112e+00  1.0374e+01
1.4181e+00  1.0513e+01
1.4249e+00  1.0279e+01
1.4317e+00  1.0329e+01
1.4386e+00  1.0356e+01
1.4454e+00  1.0432e+01
1.4522e+00  1.0366e+01
1.4591e+00  1.0445e+01
1.4659e+00  1.0268e+01
1.4727e+00  1.0324e+01
1.4796e+00  1.0325e+01
1.4864e+00  1.0395e+01
1.4932e+00  1.0242e+01
1.5001e+00  1.0330e+01
1.5069e+00  1.0450e+01
1.5137e+00  1.0166e+01
1.5206e+00  1.0281e+01
1.5274e+00  1.0137e+01
1.5342e+00  1.0325e+01
1.5410e+00  1.0251e+01
1.5479e+00  1.0330e+01
1.5547e+00  1.0306e+01
1.5615e+00  1.0221e+01
1.5684e+00  1.0091e+01
1.5752e+00  9.9764e+00
1.5820e+00  1.0156e+01
1.5889e+00  1.0112e+01
1.5957e+00  1.0105e+01
1.6025e+00  1.0175e+01
1.6094e+00  1.0113e+01
1.6162e+00  1.0177e+01
1.6230e+00  1.0340e+01
1.6298e+00  1.0137e+01
1.6367e+00  1.0237e+01
1.6435e+00  9.9958e+00
1.6503e+00  1.0222e+01
1.6572e+00  1.0205e+01
1.6640e+00  1.0138e+01
1.6708e+00  1.0272e+01
1.6777e+00  1.0060e+01
1.6845e+00  1.0020e+01
1.6913e+00  1.0183e+01
1.6981e+00  1.0141e+01
1.7050e+00  1.0134e+01
1.7118e+00  1.0125e+01
1.7186e+00  1.0228e+01
1.7255e+00  1.0039e+01
1.7323e+00  1.0095e+01
1.7391e+00  1.0152e+01
1.7460e+00  1.0175e+01
1.7528e+00  1.0004e+01
1.7596e+00  1.0087e+01
1.7664e+00  1.0138e+01
1.7733e+00  1.0063e+01
1.7801e+00  1.0057e+01
1.7869e+00  1.0123e+01
1.7938e+00  1.0065e+01
1.8006e+00  1.0087e+01
1.8074e+00  1.0080e+01
1.8143e+00  1.0036e+01
1.8211e+00  1.0048e+01
1.8279e+00  1.0063e+01
1.8347e+00  1.0221e+01
1.8416e+00  1.0015e+01
1.8484e+00  1.0046e+01
1.8552e+00  1.0052e+01
1.8621e+00  1.0076e+01
1.8689e+00  1.0006e+01
1.8757e+00  1.0049e+01
1.8825e+00  1.0080e+01
1.8894e+00  1.0058e+01
1.8962e+00  1.0055e+01
1.9030e+00  1.0063e+01
1.9099e+00  1.0028e+01
1.9167e+00  1.0106e+01
1.9235e+00  1.0058e+01
1.9303e+00  1.0174e+01
1.9372e+00  1.0106e+01
1.9440e+00  1.0167e+01
1.9508e+00  1.0124e+01
1.9577e+00  1.0042e+01
1.9645e+00  1.0078e+01
1.9713e+00  1.0071e+01
1.9781e+00  1.0078e+01
1.9850e+00  1.0037e+01
1.9918e+00  1.0064e+01
1.9986e+00  1.0133e+01
2.0055e+00  1.0066e+01
2.0123e+00  9.9988e+00
2.0191e+00  1.0128e+01
2.0259e+00  1.0017e+01
2.0328e+00  1.0069e+01
2.0396e+00  1.0088e+01
2.0464e+00  1.0103e+01
2.0532e+00  1.0020e+01
2.0601e+00  1.0093e+01
2.0669e+00  1.0158e+01
2.0737e+00  1.0115e+01
2.0806e+00  1.0152e+01
2.0874e+00  1.0121e+01
2.0942e+00  1.0137e+01
2.1010e+00  1.0089e+01
2.1079e+00  1.0118e+01
2.1147e+00  1.0132e+01
2.1215e+00  1.0167e+01
2.1283e+00  1.0120e+01
2.1352e+00  1.0096e+01
2.1420e+00  1.0131e+01
2.1488e+00  1.0112e+01
2.1557e+00  1.0167e+01
2.1625e+00  1.0215e+01
2.1693e+00  1.0161e+01
2.1761e+00  1.0199e+01
2.1830e+00  1.0220e+01
2.1898e+00  1.0143e+01
2.1966e+00  1.0147e+01
2.2034e+00  1.0170e+01
2.2103e+00  1.0164e+01
2.2171e+00  1.0213e+01
2.2239e+00  1.0166e+01
2.2307e+00  1.0078e+01
2.2376e+00  1.0219e+01
2.2444e+00  1.0197e+01
2.2512e+00  1.0210e+01
2.2580e+00  1.0275e+01
2.2649e+00  1.0210e+01
2.2717e+00  1.0211e+01
2.2785e+00  1.0245e+01
2.2853e+00  1.0247e+01
2.2922e+00  1.0232e+01
2.2990e+00  1.0270e+01
2.3058e+00  1.0254e+01
2.3126e+00  1.0208e+01
2.3195e+00  1.0212e+01
2.3263e+00  1.0239e+01
2.3331e+00  1.0231e+01
2.3399e+00  1.0203e+01
2.3468e+00  1.0216e+01
2.3536e+00  1.0274e+01
2.3604e+00  1.0214e+01
2.3672e+00  1.0224e+01
2.3741e+00  1.0236e+01
2.3809e+00  1.0207e+01
2.3877e+00  1.0255e+01
2.3945e+00  1.0247e+01
2.4014e+00  1.0268e+01
2.4082e+00  1.0299e+01
2.4150e+00  1.0276e+01
2.4218e+00  1.0310e+01
2.4287e+00  1.0388e+01
2.4355e+00  1.0360e+01
2.4423e+00  1.0469e+01
2.4491e+00  1.0469e+01
2.4560e+00  1.0520e+01
2.4628e+00  1.0607e+01
2.4696e+00  1.0690e+01
2.4764e+00  1.0723e+01
2.4833e+00  1.0816e+01
2.4901e+00  1.0959e+01
2.4969e+00  1.1051e+01
2.5037e+00  1.1316e+01
2.5106e+00  1.1633e+01
2.5174e+00  1.2272e+01
2.5242e+00  1.3560e+01
2.5310e+00  1.6227e+01
2.5378e+00  2.1718e+01
2.5447e+00  3.7931e+01
2.5515e+00  8.2685e+01
2.5583e+00  1.7155e+02
2.5651e+00  2.9639e+02
2.5720e+00  3.8658e+02
2.5788e+00  3.6699e+02
2.5856e+00  2.3140e+02
2.5924e+00  1.1333e+02
2.5993e+00  5.3695e+01
2.6061e+00  2.7147e+01
2.6129e+00  1.8340e+01
2.6197e+00  1.4250e+01
2.6265e+00  1.2470e+01
2.6334e+00  1.1576e+01
2.6402e+00  1.1161e+01
2.6470e+00  1.0850e+01
2.6538e+00  1.0682e+01
2.6606e+00  1.0484e+01
2.6675e+00  1.0403e+01
2.6743e+00  1.0317e+01
2.6811e+00  1.0235e+01
2.6879e+00  1.0134e+01
2.6948e+00  1.0012e+01
2.7016e+00  9.9125e+00
2.7084e+00  9.8875e+00
2.7152e+00  9.8619e+00
2.7220e+00  9.7834e+00
2.7289e+00  9.7701e+00
2.7357e+00  9.6914e+00
2.7425e+00  9.6800e+00
2.7493e+00  9.5781e+00
2.7561e+00  9.6357e+00
2.7630e+00  9.5778e+00
2.7698e+00  9.5642e+00
2.7766e+00  9.6093e+00
2.7834e+00  9.5717e+00
2.7902e+00  9.4475e+00
2.7971e+00  9.4662e+00
2.8039e+00  9.4874e+00
2.8107e+00  9.4971e+00
2.8175e+00  9.4525e+00
2.8243e+00  9.3950e+00
2.8312e+00  9.4389e+00
2.8380e+00  9.3819e+00
2.8448e+00  9.3217e+00
2.8516e+00  9.3130e+00
2.8584e+00  9.3682e+00
2.8653e+00  9.3435e+00
2.8721e+00  9.3414e+00
2.8789e+00  9.2883e+00
2.8857e+00  9.3127e+00
2.8925e+00  9.2326e+00
2.8994e+00  9.3358e+00
2.9062e+00  9.2785e+00
2.9130e+00  9.2628e+00
2.9198e+00  9.2365e+00
2.9266e+00  9.2355e+00
2.9335e+00  9.2707e+00
2.9403e+00  9.2742e+00
2.9471e+00  9.2411e+00
2.9539e+00  9.2307e+00
2.9607e+00  9.2864e+00
2.9676e+00  9.1925e+00
2.9744e+00  9.1781e+00
2.9812e+00  9.1822e+00
2.9880e+00  9.2148e+00
2.9948e+00  9.1680e+00
3.0016e+00  9.1917e+00
3.0085e+00  9.1814e+00
3.0153e+00  9.1600e+00
3.0221e+00  9.1306e+00
3.0289e+00  9.1865e+00
3.0357e+00  9.1377e+00
3.0425e+00  9.1946e+00
3.0494e+00  9.1591e+00
3.0562e+00  9.1310e+00
3.0630e+00  9.1109e+00
3.0698e+00  9.1551e+00
3.0766e+00  9.1684e+00
3.0835e+00  9.1480e+00
3.0903e+00  9.0788e+00
3.0971e+00  9.1423e+00
3.1039e+00  9.1486e+00
3.1107e+00  9.1716e+00
3.1175e+00  9.1357e+00
3.1244e+00  9.0990e+00
3.1312e+00  9.1344e+00
3.1380e+00  9.1596e+00
3.1448e+00  9.1444e+00
3.1516e+00  9.0990e+00
3.1584e+00  9.1540e+00
3.1653e+00  9.1519e+00
3.1721e+00  9.1649e+00
3.1789e+00  9.1716e+00
3.1857e+00  9.1349e+00
3.1925e+00  9.1284e+00
3.1993e+00  9.1619e+00
3.2061e+00  9.1070e+00
3.2130e+00  9.1143e+00
3.2198e+00  9.1285e+00
3.2266e+00  9.1672e+00
3.2334e+00  9.1141e+00
3.2402e+00  9.0999e+00
3.2470e+00  9.0878e+00
3.2539e+00  9.1076e+00
3.2607e+00  9.1195e+00
3.2675e+00  9.1358e+00
3.2743e+00  9.1607e+00
3.2811e+00  9.1277e+00
3.2879e+00  9.1663e+00
3.2947e+00  9.1559e+00
3.3016e+00  9.1088e+00
3.3084e+00  9.0916e+00
3.3152e+00  9.0896e+00
3.3220e+00  9.1403e+00
3.3288e+00  9.1394e+00
3.3356e+00  9.1497e+00
3.3424e+00  9.1557e+00
3.3493e+00  9.1978e+00
3.3561e+00  9.1279e+00
3.3629e+00  9.1365e+00
3.3697e+00  9.1873e+00
3.3765e+00  9.1822e+00
3.3833e+00  9.1546e+00
3.3901e+00  9.2306e+00
3.3969e+00  9.2490e+00
3.4038e+00  9.2802e+00
3.4106e+00  9.3133e+00
3.4174e+00  9.2694e+00
3.4242e+00  9.2659e+00
3.4310e+00  9.3441e+00
3.4378e+00  9.3963e+00
3.4446e+00  9.4253e+00
3.4514e+00  9.3733e+00
3.4583e+00  9.4198e+00
3.4651e+00  9.4745e+00
3.4719e+00  9.5673e+00
3.4787e+00  9.5800e+00
3.4855e+00  9.6275e+00
3.4923e+00  9.7373e+00
3.4991e+00  9.7552e+00
3.5059e+00  9.8846e+00
3.5127e+00  9.9192e+00
3.5196e+00  1.0068e+01
3.5264e+00  1.0161e+01
3.5332e+00  1.0362e+01
3.5400e+00  1.0415e+01
3.5468e+00  1.0637e+01
3.5536e+00  1.0823e+01
3.5604e+00  1.1012e+01
3.5672e+00  1.1343e+01
3.5740e+00  1.1794e+01
3.5809e+00  1.2696e+01
3.5877e+00  1.4272e+01
3.5945e+00  1.7643e+01
3.6013e+00  2.5798e+01
3.6081e+00  4.6465e+01
3.6149e+00  1.0403e+02
3.6217e+00  2.2701e+02
3.6285e+00  4.3379e+02
3.6353e+00  6.4969e+02
3.6421e+00  7.0275e+02
3.6490e+00  5.6535e+02
3.6558e+00  3.1774e+02
3.6626e+00  1.4825e+02
3.6694e+00  6.4592e+01
3.6762e+00  3.1914e+01
3.6830e+00  1.9997e+01
3.6898e+00  1.5213e+01
3.6966e+00  1.3026e+01
3.7034e+00  1.1912e+01
3.7102e+00  1.1287e+01
3.7170e+00  1.0915e+01
3.7239e+00  1.0606e+01
3.7307e+00  1.0419e+01
3.7375e+00  1.0290e+01
3.7443e+00  1.0103e+01
3.7511e+00  9.9797e+00
3.7579e+00  9.8249e+00
3.7647e+00  9.7243e+00
3.7715e+00  9.5525e+00
3.7783e+00  9.5071e+00
3.7851e+00  9.3965e+00
3.7919e+00  9.3810e+00
3.7987e+00  9.2763e+00
3.8055e+00  9.1567e+00
3.8124e+00  9.1986e+00
3.8192e+00  9.0993e+00
3.8260e+00  9.0962e+00
3.8328e+00  9.0640e+00
3.8396e+00  8.9918e+00
3.8464e+00  8.9010e+00
3.8532e+00  8.8819e+00
3.8600e+00  8.9347e+00
3.8668e+00  8.8438e+00
3.8736e+00  8.7885e+00
3.8804e+00  8.7894e+00
3.8872e+00  8.7547e+00
3.8940e+00  8.7088e+00
3.9008e+00  8.7098e+00
3.9076e+00  8.6870e+00
3.9144e+00  8.6880e+00
3.9213e+00  8.6581e+00
3.9281e+00  8.6646e+00
3.9349e+00  8.6385e+00
3.9417e+00  8.6004e+00
3.9485e+00  8.5812e+00
3.9553e+00  8.5815e+00
3.9621e+00  8.5719e+00
3.9689e+00  8.5423e+00
3.9757e+00  8.5455e+00
3.9825e+00  8.4866e+00
3.9893e+00  8.5012e+00
3.9961e+00  8.4780e+00
4.0029e+00  8.5122e+00
4.0097e+00  8.4925e+00
4.0165e+00  8.5144e+00
4.0233e+00  8.4112e+00
4.0301e+00  8.4453e+00
4.0369e+00  8.4421e+00
4.0437e+00  8.4450e+00
4.0505e+00  8.4235e+00
4.0573e+00  8.4768e+00
4.0641e+00  8.3833e+00
4.0709e+00  8.4569e+00
4.0777e+00  8.4433e+00
4.0845e+00  8.4161e+00
4.0913e+00  8.4315e+00
4.0981e+00  8.4088e+00
4.1050e+00  8.3850e+00
4.1118e+00  8.3767e+00
4.1186e+00  8.4075e+00
