 # xx                                                               FEFF 9.9.1
 # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
 # Abs   Z=28 Rmt= 1.320 Rnm= 1.527 K  shell
 # Pot 1 Z=28 Rmt= 1.302 Rnm= 1.519
 # Pot 2 Z=30 Rmt= 1.280 Rnm= 1.497
 # Pot 3 Z=19 Rmt= 2.061 Rnm= 2.170
 # Pot 4 Z=17 Rmt= 1.374 Rnm= 1.582
 # Gam_ch=1.576E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
 # Mu=-7.123E+00eV kf=1.540E+00 Vint=-1.059E+01eV Rs_int= 2.355
 # PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   16      icalc       2
 -----------------------------------------------------------------------
   2   1.000   4.4634    3.2101   -7.12338 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  28 Ni       absorbing atom
    -1.1579   -3.4900    2.5300  3  19 K     
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  3.5265E+00  0.0000E+00 -2.1076E+00  8.919E-01  9.2864E+00  9.6029E-01
  0.100  3.5320E+00  1.2404E-01 -2.9703E+00  8.920E-01  9.3344E+00  9.6526E-01
  0.200  3.5482E+00  2.4136E-01 -3.7735E+00  8.922E-01  9.4751E+00  9.8003E-01
  0.300  3.5751E+00  3.4662E-01 -4.5175E+00  8.927E-01  9.6993E+00  1.0042E+00
  0.400  3.6125E+00  4.3760E-01 -5.2043E+00  8.939E-01  9.9920E+00  1.0371E+00
  0.500  3.6595E+00  5.1410E-01 -5.8336E+00  8.961E-01  1.0333E+01  1.0781E+00
  0.600  3.7152E+00  5.7821E-01 -6.4049E+00  8.996E-01  1.0697E+01  1.1263E+00
  0.700  3.7776E+00  6.3345E-01 -6.9151E+00  9.050E-01  1.1059E+01  1.1809E+00
  0.800  3.8442E+00  6.8471E-01 -7.3584E+00  9.124E-01  1.1389E+01  1.2412E+00
  0.900  3.9119E+00  7.3918E-01 -7.7249E+00  9.223E-01  1.1664E+01  1.3067E+00
  1.000  3.9771E+00  8.0838E-01 -8.0019E+00  9.345E-01  1.1864E+01  1.3769E+00
  1.100  4.0359E+00  9.1006E-01 -8.1757E+00  9.491E-01  1.1976E+01  1.4512E+00
  1.200  4.0850E+00  1.0734E+00 -8.2267E+00  9.655E-01  1.1999E+01  1.5296E+00
  1.300  4.1212E+00  1.1884E+00 -8.0851E+00  9.833E-01  1.1939E+01  1.6118E+00
  1.400  4.1422E+00  1.2447E+00 -8.0040E+00  1.002E+00  1.1814E+01  1.6978E+00
  1.500  4.1460E+00  1.2813E+00 -7.9248E+00  1.021E+00  1.1648E+01  1.7877E+00
  1.600  4.1316E+00  1.2543E+00 -7.8246E+00  1.038E+00  1.1470E+01  1.8815E+00
  1.700  4.0980E+00  1.1750E+00 -7.7177E+00  1.054E+00  1.1318E+01  1.9797E+00
  1.800  4.0446E+00  1.0540E+00 -7.6194E+00  1.067E+00  1.1229E+01  2.0824E+00
  1.900  3.9405E+00  9.1175E-01 -7.4433E+00  1.075E+00  1.1271E+01  2.2009E+00
  2.000  3.8196E+00  8.0483E-01 -7.3070E+00  1.213E+00  7.8023E+00  2.3237E+00
  2.200  3.8204E+00  6.5696E-01 -7.7561E+00  1.410E+00  5.6464E+00  2.4861E+00
  2.400  3.8488E+00  5.2376E-01 -8.1902E+00  1.450E+00  5.0770E+00  2.6313E+00
  2.600  3.8015E+00  4.1675E-01 -8.1401E+00  1.442E+00  4.8749E+00  2.7884E+00
  2.800  3.7187E+00  4.9167E-01 -7.7571E+00  1.416E+00  4.8469E+00  2.9519E+00
  3.000  3.6140E+00  7.1953E-01 -7.6203E+00  1.375E+00  4.9180E+00  3.1212E+00
  3.200  3.4977E+00  9.2517E-01 -7.6718E+00  1.334E+00  5.0541E+00  3.2953E+00
  3.400  3.3737E+00  1.0365E+00 -7.7813E+00  1.292E+00  5.2369E+00  3.4735E+00
  3.600  3.2485E+00  1.0743E+00 -7.9114E+00  1.255E+00  5.4556E+00  3.6552E+00
  3.800  3.1241E+00  1.0893E+00 -8.0261E+00  1.216E+00  5.7033E+00  3.8398E+00
  4.000  3.0026E+00  1.1050E+00 -8.1057E+00  1.184E+00  5.9752E+00  4.0269E+00
  4.200  2.8854E+00  1.1354E+00 -8.1514E+00  1.151E+00  6.2680E+00  4.2161E+00
  4.400  2.7714E+00  1.1614E+00 -8.1836E+00  1.124E+00  6.5791E+00  4.4069E+00
  4.600  2.6600E+00  1.1677E+00 -8.2237E+00  1.101E+00  6.9068E+00  4.5992E+00
  4.800  2.5511E+00  1.1512E+00 -8.2840E+00  1.080E+00  7.2494E+00  4.7927E+00
  5.000  2.4424E+00  1.1119E+00 -8.3612E+00  1.063E+00  7.6058E+00  4.9872E+00
  5.200  2.3334E+00  1.0658E+00 -8.4506E+00  1.049E+00  7.9751E+00  5.1825E+00
  5.400  2.2232E+00  1.0121E+00 -8.5305E+00  1.037E+00  8.3564E+00  5.3786E+00
  5.600  2.1115E+00  9.6052E-01 -8.5765E+00  1.027E+00  8.7491E+00  5.5753E+00
  5.800  1.9991E+00  9.1556E-01 -8.6273E+00  1.017E+00  9.1525E+00  5.7725E+00
  6.000  1.8862E+00  8.7283E-01 -8.6729E+00  1.009E+00  9.5663E+00  5.9701E+00
  6.500  1.6095E+00  7.7765E-01 -8.8129E+00  9.901E-01  1.0643E+01  6.4656E+00
  7.000  1.3521E+00  6.9485E-01 -8.9751E+00  9.727E-01  1.1777E+01  6.9628E+00
  7.500  1.1197E+00  6.1362E-01 -9.0958E+00  9.579E-01  1.2963E+01  7.4610E+00
  8.000  9.0565E-01  5.4636E-01 -9.2249E+00  9.478E-01  1.4199E+01  7.9600E+00
  8.500  7.0307E-01  4.9107E-01 -9.3698E+00  9.412E-01  1.5482E+01  8.4595E+00
  9.000  4.9507E-01  4.3353E-01 -9.4852E+00  9.367E-01  1.6809E+01  8.9594E+00
  9.500  2.9951E-01  3.8745E-01 -9.6029E+00  9.299E-01  1.8180E+01  9.4596E+00
 10.000  1.1349E-01  3.5200E-01 -9.7219E+00  9.216E-01  1.9591E+01  9.9600E+00
 11.000 -2.2904E-01  2.8285E-01 -9.9388E+00  9.104E-01  2.2532E+01  1.0961E+01
 12.000 -5.5143E-01  2.3283E-01 -1.0135E+01  9.066E-01  2.5622E+01  1.1962E+01
 13.000 -8.4616E-01  2.0396E-01 -1.0307E+01  9.043E-01  2.8853E+01  1.2964E+01
 14.000 -1.1138E+00  1.8208E-01 -1.0522E+01  9.046E-01  3.2217E+01  1.3965E+01
 15.000 -1.3654E+00  1.5780E-01 -1.0724E+01  9.062E-01  3.5707E+01  1.4967E+01
 16.000 -1.5953E+00  1.4201E-01 -1.0927E+01  9.079E-01  3.9318E+01  1.5968E+01
 17.000 -1.8100E+00  1.2874E-01 -1.1132E+01  9.105E-01  4.3045E+01  1.6969E+01
