# xx                                                               FEFF 9.9.1
# POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=28 Rmt= 1.320 Rnm= 1.527 K  shell
# Pot 1 Z=28 Rmt= 1.302 Rnm= 1.519
# Pot 2 Z=30 Rmt= 1.280 Rnm= 1.497
# Pot 3 Z=19 Rmt= 2.061 Rnm= 2.170
# Pot 4 Z=17 Rmt= 1.374 Rnm= 1.582
# Gam_ch=1.576E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# Mu=-7.123E+00eV kf=1.540E+00 Vint=-1.059E+01eV Rs_int= 2.355
# PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 S02  1.000                                        Global sig2  0.00000
 Debye-waller factor    0.0000000000000000        0.0000000000000000     
 -----------------------------------------------------------------------
       k         chi           mag          phase        phase-2kr  @#
     0.0000   -2.035744E-01  2.530828E-01 -2.206964E+00 -2.206964E+00
     0.0500   -2.033313E-01  2.513989E-01 -2.199485E+00 -2.441565E+00
     0.1000   -2.030620E-01  2.497151E-01 -2.192007E+00 -2.676166E+00
     0.1500   -2.023120E-01  2.449257E-01 -2.169595E+00 -2.895834E+00
     0.2000   -2.013393E-01  2.401364E-01 -2.147183E+00 -3.115501E+00
     0.2500   -1.999008E-01  2.329338E-01 -2.109865E+00 -3.320263E+00
     0.3000   -1.979080E-01  2.257311E-01 -2.072546E+00 -3.525024E+00
     0.3500   -1.952723E-01  2.167036E-01 -2.019285E+00 -3.713843E+00
     0.4000   -1.916660E-01  2.076761E-01 -1.966025E+00 -3.902662E+00
     0.4500   -1.878246E-01  1.984070E-01 -1.898875E+00 -4.077592E+00
     0.5000   -1.827357E-01  1.891379E-01 -1.831725E+00 -4.252522E+00
     0.5500   -1.770844E-01  1.799555E-01 -1.749665E+00 -4.412541E+00
     0.6000   -1.699735E-01  1.707731E-01 -1.667606E+00 -4.572561E+00
     0.6500   -1.621956E-01  1.621957E-01 -1.571121E+00 -4.718156E+00
     0.7000   -1.529085E-01  1.536182E-01 -1.474636E+00 -4.863751E+00
     0.7500   -1.427212E-01  1.458348E-01 -1.363786E+00 -4.994980E+00
     0.8000   -1.311359E-01  1.380514E-01 -1.252936E+00 -5.126210E+00
     0.8500   -1.184533E-01  1.310985E-01 -1.127971E+00 -5.243325E+00
     0.9000   -1.046660E-01  1.241455E-01 -1.003006E+00 -5.360439E+00
     0.9500   -8.971782E-02  1.179396E-01 -8.644066E-01 -5.463920E+00
     1.0000   -7.416201E-02  1.117336E-01 -7.258073E-01 -5.567400E+00
     1.0500   -5.753772E-02  1.061189E-01 -5.730538E-01 -5.656726E+00
     1.1000   -4.100918E-02  1.005042E-01 -4.203003E-01 -5.746052E+00
     1.1500   -2.388867E-02  9.531494E-02 -2.533297E-01 -5.821161E+00
     1.2000   -7.773504E-03  9.012572E-02 -8.635909E-02 -5.896270E+00
     1.2500    8.185481E-03  8.523403E-02  9.618360E-02 -5.955807E+00
     1.3000    2.210469E-02  8.034233E-02  2.787263E-01 -6.015344E+00
     1.3500    3.466839E-02  7.551735E-02  4.769577E-01 -6.059192E+00
     1.4000    4.418590E-02  7.069236E-02  6.751890E-01 -6.103041E+00
     1.4500    5.120883E-02  6.582105E-02  8.914775E-01 -6.128832E+00
     1.5000    5.453192E-02  6.094973E-02  1.107766E+00 -6.154623E+00
     1.5500    5.452707E-02  5.595379E-02  1.344490E+00 -6.159979E+00
     1.6000    5.095508E-02  5.095784E-02  1.581214E+00 -6.165334E+00
     1.6500    4.419872E-02  4.586494E-02  1.841170E+00 -6.147458E+00
     1.7000    3.517160E-02  4.077204E-02  2.101127E+00 -6.129581E+00
     1.7500    2.440994E-02  3.571851E-02  2.389186E+00 -6.083601E+00
     1.8000    1.373296E-02  3.066499E-02  2.677246E+00 -6.037621E+00
     1.8500    3.458775E-03  2.587583E-02  3.007523E+00 -5.949423E+00
     1.9000   -4.110869E-03  2.108668E-02  3.337800E+00 -5.861226E+00
     1.9500   -9.373576E-03  1.717066E-02  3.719064E+00 -5.722042E+00
     2.0000   -1.084845E-02  1.325463E-02  4.100327E+00 -5.582858E+00
     2.0500   -1.226989E-02  1.232428E-02  4.618406E+00 -5.306859E+00
     2.1000   -1.038455E-02  1.139392E-02  5.136484E+00 -5.030860E+00
     2.1500   -6.152902E-03  1.046357E-02  5.654563E+00 -4.754861E+00
     2.2000   -1.051694E-03  9.533211E-03  6.172641E+00 -4.478863E+00
     2.2500    2.491183E-03  1.073264E-02  6.517435E+00 -4.376149E+00
     2.3000    6.529500E-03  1.193207E-02  6.862228E+00 -4.273435E+00
     2.3500    1.047788E-02  1.313150E-02  7.207021E+00 -4.170722E+00
     2.4000    1.368165E-02  1.433093E-02  7.551814E+00 -4.068008E+00
     2.4500    1.520663E-02  1.523382E-02  7.794217E+00 -4.067686E+00
     2.5000    1.586833E-02  1.613672E-02  8.036619E+00 -4.067363E+00
     2.5500    1.552347E-02  1.703961E-02  8.279021E+00 -4.067040E+00
     2.6000    1.409218E-02  1.794251E-02  8.521424E+00 -4.066717E+00
     2.6500    1.182910E-02  1.851931E-02  8.731913E+00 -4.098308E+00
     2.7000    8.858410E-03  1.909612E-02  8.942402E+00 -4.129898E+00
     2.7500    5.283155E-03  1.967292E-02  9.152891E+00 -4.161489E+00
     2.8000    1.242511E-03  2.024972E-02  9.363380E+00 -4.193080E+00
     2.8500   -2.821345E-03  2.063892E-02  9.561908E+00 -4.236632E+00
     2.9000   -6.926445E-03  2.102811E-02  9.760435E+00 -4.280184E+00
     2.9500   -1.090440E-02  2.141730E-02  9.958963E+00 -4.323736E+00
     3.0000   -1.458611E-02  2.180649E-02  1.015749E+01 -4.367288E+00
     3.0500   -1.764035E-02  2.206707E-02  1.035107E+01 -4.415789E+00
     3.1000   -2.009585E-02  2.232764E-02  1.054465E+01 -4.464290E+00
     3.1500   -2.184434E-02  2.258821E-02  1.073823E+01 -4.512791E+00
     3.2000   -2.280234E-02  2.284878E-02  1.093180E+01 -4.561292E+00
     3.2500   -2.280656E-02  2.299283E-02  1.112295E+01 -4.612227E+00
     3.3000   -2.197309E-02  2.313688E-02  1.131409E+01 -4.663162E+00
     3.3500   -2.032212E-02  2.328092E-02  1.150524E+01 -4.714097E+00
     3.4000   -1.790420E-02  2.342497E-02  1.169638E+01 -4.765033E+00
     3.4500   -1.474293E-02  2.344898E-02  1.188646E+01 -4.817035E+00
     3.5000   -1.104356E-02  2.347298E-02  1.207654E+01 -4.869038E+00
     3.5500   -6.938378E-03  2.349699E-02  1.226661E+01 -4.921040E+00
     3.6000   -2.574610E-03  2.352099E-02  1.245669E+01 -4.973043E+00
     3.6500    1.877465E-03  2.342947E-02  1.264659E+01 -5.025224E+00
     3.7000    6.227602E-03  2.333796E-02  1.283649E+01 -5.077405E+00
     3.7500    1.032054E-02  2.324644E-02  1.302639E+01 -5.129586E+00
     3.8000    1.401146E-02  2.315493E-02  1.321628E+01 -5.181768E+00
     3.8500    1.709881E-02  2.296257E-02  1.340636E+01 -5.233769E+00
     3.9000    1.952172E-02  2.277022E-02  1.359644E+01 -5.285770E+00
     3.9500    2.120403E-02  2.257787E-02  1.378652E+01 -5.337771E+00
     4.0000    2.209757E-02  2.238552E-02  1.397660E+01 -5.389772E+00
     4.0500    2.209586E-02  2.210549E-02  1.416668E+01 -5.441774E+00
     4.1000    2.130137E-02  2.182545E-02  1.435675E+01 -5.493777E+00
