natx =     2587
    x       y        z       iph  
      8.46001     -6.05998     -2.64999   4     10.73860
    -10.67789      1.04001      0.85000   4     10.76203
     -0.55000      7.04791     -8.13999   4     10.78124
     10.00000     -0.54000      4.09000   4     10.81757
     -9.61789     -3.93998     -3.00000   2     10.81791
      2.18000      9.77792      4.15000   4     10.84355
     10.24000     -3.60998      0.18000   3     10.85919
      8.64001     -2.46999     -6.13999   4     10.88348
     -9.35790     -5.55999      1.03000   4     10.93365
     -4.59789     -4.69998      8.73999   4     10.93700
      7.51000     -1.45998     -7.84000   2     10.95432
     -6.78790      6.50792     -5.67000   2     10.98078
     -1.10999     -9.93000     -4.70000   4     11.04205
     -6.03788      8.23792     -4.21000   4     11.04733
     -2.80789     -7.19999      8.06000   3     11.16637
     -7.11790     -5.91999      6.25001   3     11.17020
     -2.05790      4.62791     -9.99000   4     11.20056
      9.98001      2.22001     -4.58000   4     11.20292
      1.39000    -10.88999     -2.30000   4     11.21668
     -3.95789      4.55000      9.46791   4     11.22536
      3.69000      8.47792      6.51000   3     11.30802
     10.63000     -2.93998     -2.79999   4     11.37894
      8.60000     -5.23998      5.43001   4     11.44125
     -3.57790     -6.63000     -8.61999   4     11.44825
      5.38001      9.89791      2.26001   4     11.49004
     -0.67000     -5.49999     10.08790   4     11.50932
      0.15000      8.94791      7.24000   4     11.51109
      0.81002     -7.00999      9.10999   2     11.52337
     -2.72790      2.12002     11.02790   3     11.55640
     -9.32790     -4.39000     -5.25999   4     11.57364
     -0.98999     -7.97999     -8.40001   3     11.62843
     -0.21000     -8.51000      8.03000   4     11.70236
     -0.39000      6.73791      9.60790   4     11.74152
     -6.08790      1.48002      9.96790   4     11.77336
     11.71001      1.04001      0.85000   4     11.78679
     -5.40789      5.11792     -9.15999   4     11.80439
     -5.74789     -7.88999     -6.64001   3     11.80592
      1.39000     11.49791     -2.30000   4     11.80780
      5.49001      9.10791     -5.16999   4     11.82468
     -7.95789     -1.60998      8.66000   4     11.87079
     -2.72790      2.12002    -11.36000   3     11.87373
     -0.30998      6.14792    -10.19999   2     11.91356
    -10.04789     -4.12000      4.94000   4     11.93055
      4.49001      8.44792     -7.16001   2     11.94961
      7.54000     -6.19999     -6.91999   4     11.96569
     -3.82788    -11.17000      1.94000   4     11.96600
     -3.82788     11.21791      1.94000   4     12.01073
     -8.38790     -8.19999     -2.79000   3     12.05740
     -0.95999     10.21791     -6.46001   2     12.12678
      5.50001     -7.48998     -7.79999   2     12.13218
      8.94000      4.57002     -6.91999   4     12.19405
     -8.03788     -8.35998      3.91000   4     12.23866
     -9.89789      2.95001     -6.61001   3     12.26226
     -4.02790      8.44792     -8.00999   3     12.31873
     -6.04789     10.64791     -1.36000   4     12.32090
      3.98001     11.16791      3.41001   2     12.33657
    -12.22789     -0.39000      1.83999   2     12.37170
      3.98001    -11.21999      3.41001   2     12.38373
      2.01001      6.27790    -10.49999   4     12.39766
      9.81000     -7.42998     -1.55000   2     12.40336
      2.52000      6.98791      9.94791   2     12.41540
      9.69000     -7.75000      0.83001   4     12.43573
      9.98001     -5.19999     -5.30000   3     12.43907
    -11.75790     -2.93998     -2.79999   4     12.43912
      2.47001     -8.54998     -8.76000   4     12.48763
     -1.13999    -12.31999     -1.77999   3     12.50001
      7.35001     -4.30000      9.16999   4     12.51405
      0.50001    -12.51000      0.89999   4     12.55229
     -7.29790      1.06002    -10.15999   2     12.55421
     -0.16999    -12.17000      3.13001   2     12.56720
    -10.60790     -6.28999     -2.42000   4     12.56774
      1.41001     10.42790     -6.88000   4     12.57234
      2.94000     -7.57998      9.59789   4     12.57853
      5.63000      7.25791     -8.60000   4     12.58309
     -7.24790      9.82791     -3.24000   2     12.63398
      2.80001    -10.06999     -7.13999   2     12.65797
      4.58000    -10.51999      5.35001   4     12.65975
      5.63000     -9.24999     -6.55999   4     12.66067
      8.76000      8.18790     -4.07001   4     12.66272
    -12.14790     -3.60998      0.18000   3     12.67422
     -4.85788    -10.05998      6.07001   2     12.71406
     -0.40999     12.29792      3.34999   4     12.75262
     -7.28789      7.12790     -7.70000   4     12.77538
     -6.85788     -2.05998    -10.66000   4     12.84172
      8.60000     -5.72998      7.68001   2     12.87537
     -4.25789      5.66790    -10.79001   2     12.91042
     -2.75790    -10.82999      6.50001   4     12.92845
      6.60000     -4.13999    -10.36000   3     12.96261
     12.61001     -2.42998      1.86999   4     12.97744
      8.64001     -9.39998     -2.42000   4     12.99484
      8.38002     -1.60998     -9.82001   4     13.00958
    -12.38790     -0.54000      4.09000   4     13.05679
      7.34001     -7.69998      7.65001   4     13.10298
      7.23002     -9.73999      5.03000   3     13.13170
      7.88000    -10.51999     -0.03000   3     13.14403
     -5.99790     -8.63000      7.92001   4     13.15972
     -0.09000      3.23001    -12.76999   4     13.17246
     -1.34789     -0.46999    -13.13789   4     13.21521
      0.11001     13.21791      0.54000   3     13.22939
     -6.04789    -11.73999     -1.36000   4     13.27607
     -6.76788    -11.15999      2.61000   3     13.31021
     -8.47790      2.89001     -9.85000   4     13.31351
     -3.17789     12.86792     -1.45000   4     13.33360
      2.81002     12.83792      2.33000   4     13.34680
     -1.10999     12.45790     -4.70000   4     13.36119
     -6.76788     11.22791      2.61000   3     13.36721
     -9.36790      9.22791     -2.43000   4     13.37224
     -2.05790      4.62791     12.39790   4     13.39256
    -12.40789      2.22001     -4.58000   4     13.41121
      2.18000    -12.60998      4.15000   4     13.45313
     -5.59789     -5.58999    -10.91000   3     13.47637
      0.76000     12.94791     -3.69000   2     13.48488
     -0.67000     -5.49999    -12.30000   4     13.49032
    -10.94788      6.67791     -4.22001   3     13.50034
     11.01001     -6.96998      3.69000   3     13.54315
     -2.75790     11.55791      6.50001   4     13.54406
     -9.59789     -0.27998     -9.57000   4     13.55665
     11.78000     -6.28999     -2.42000   4     13.57162
     -4.25789      5.66790     11.59789   2     13.59286
      2.01001      6.27790     11.88791   4     13.59318
     -0.30998      6.14792     12.18791   2     13.65423
     12.77001     -3.93998     -3.00000   2     13.69659
     -2.23789    -10.96000     -7.91999   4     13.70605
     -6.85788     -2.05998     11.72790   4     13.74110
      3.95001     10.37791     -8.09999   4     13.74458
