# xx                                                               FEFF 9.9.1
# POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=28 Rmt= 1.320 Rnm= 1.527 K  shell
# Pot 1 Z=28 Rmt= 1.302 Rnm= 1.519
# Pot 2 Z=30 Rmt= 1.280 Rnm= 1.497
# Pot 3 Z=19 Rmt= 2.061 Rnm= 2.170
# Pot 4 Z=17 Rmt= 1.374 Rnm= 1.582
# Gam_ch=1.576E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# Mu=-7.123E+00eV kf=1.540E+00 Vint=-1.059E+01eV Rs_int= 2.355
# PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 S02  1.000                                        Global sig2  0.00000
 Debye-waller factor    0.0000000000000000        0.0000000000000000     
 -----------------------------------------------------------------------
       k         chi           mag          phase        phase-2kr  @#
     0.0000   -2.247049E-02  3.464917E-02 -2.435961E+00 -2.435961E+00
     0.0500   -2.280622E-02  3.447099E-02 -2.418634E+00 -2.893878E+00
     0.1000   -2.313048E-02  3.429281E-02 -2.401306E+00 -3.351795E+00
     0.1500   -2.404204E-02  3.377727E-02 -2.349561E+00 -3.775295E+00
     0.2000   -2.485178E-02  3.326173E-02 -2.297817E+00 -4.198794E+00
     0.2500   -2.602786E-02  3.246106E-02 -2.211261E+00 -4.587484E+00
     0.3000   -2.692634E-02  3.166038E-02 -2.124706E+00 -4.976173E+00
     0.3500   -2.779583E-02  3.065315E-02 -2.005996E+00 -5.332708E+00
     0.4000   -2.817350E-02  2.964591E-02 -1.887287E+00 -5.689242E+00
     0.4500   -2.811133E-02  2.850255E-02 -1.736672E+00 -6.013872E+00
     0.5000   -2.735601E-02  2.735919E-02 -1.586057E+00 -6.338502E+00
     0.5500   -2.579128E-02  2.615365E-02 -1.404138E+00 -6.631826E+00
     0.6000   -2.344770E-02  2.494810E-02 -1.222218E+00 -6.925151E+00
     0.6500   -2.009653E-02  2.374493E-02 -1.009095E+00 -7.187273E+00
     0.7000   -1.610709E-02  2.254175E-02 -7.959730E-01 -7.449395E+00
     0.7500   -1.120011E-02  2.139572E-02 -5.509237E-01 -7.679591E+00
     0.8000   -6.097729E-03  2.024968E-02 -3.058745E-01 -7.909786E+00
     0.8500   -5.198679E-04  1.922180E-02 -2.704904E-02 -8.106205E+00
     0.9000    4.532556E-03  1.819392E-02  2.517764E-01 -8.302624E+00
     0.9500    9.321531E-03  1.735253E-02  5.670968E-01 -8.462548E+00
     1.0000    1.275117E-02  1.651115E-02  8.824172E-01 -8.622472E+00
     1.0500    1.505735E-02  1.593663E-02  1.237065E+00 -8.743069E+00
     1.1000    1.535876E-02  1.536212E-02  1.591712E+00 -8.863666E+00
     1.1500    1.386009E-02  1.517464E-02  1.990101E+00 -8.940522E+00
     1.2000    1.024981E-02  1.498716E-02  2.388489E+00 -9.017378E+00
     1.2500    4.013578E-03  1.447903E-02  2.860715E+00 -9.020397E+00
     1.3000   -2.657014E-03  1.397090E-02  3.332940E+00 -9.023416E+00
     1.3500   -7.659125E-03  1.336637E-02  3.751772E+00 -9.079828E+00
     1.4000   -1.093420E-02  1.276183E-02  4.170605E+00 -9.136240E+00
     1.4500   -1.228675E-02  1.241016E-02  4.571241E+00 -9.210848E+00
     1.5000   -1.165480E-02  1.205850E-02  4.971878E+00 -9.285456E+00
     1.5500   -9.256789E-03  1.179915E-02  5.381248E+00 -9.351330E+00
     1.6000   -5.457058E-03  1.153981E-02  5.790618E+00 -9.417205E+00
     1.6500   -7.669989E-04  1.131876E-02  6.215370E+00 -9.467697E+00
     1.7000    3.877600E-03  1.109770E-02  6.640122E+00 -9.518189E+00
     1.7500    7.655997E-03  1.073904E-02  7.076828E+00 -9.556728E+00
     1.8000    9.784602E-03  1.038038E-02  7.513534E+00 -9.595266E+00
     1.8500    9.719672E-03  9.803304E-03  7.984696E+00 -9.599349E+00
     1.9000    7.604943E-03  9.226227E-03  8.455858E+00 -9.603431E+00
     1.9500    4.002179E-03  7.862744E-03  8.890749E+00 -9.643785E+00
     2.0000    6.432706E-04  6.499263E-03  9.325640E+00 -9.684138E+00
     2.0500   -1.360765E-03  5.893184E-03  9.657786E+00 -9.827237E+00
     2.1000   -2.831485E-03  5.287106E-03  9.989931E+00 -9.970336E+00
     2.1500   -3.658903E-03  4.681028E-03  1.032208E+01 -1.011343E+01
     2.2000   -3.839838E-03  4.074950E-03  1.065422E+01 -1.025653E+01
     2.2500   -3.683224E-03  3.683688E-03  1.097970E+01 -1.040630E+01
     2.3000   -3.135895E-03  3.292427E-03  1.130517E+01 -1.055608E+01
     2.3500   -2.335529E-03  2.901166E-03  1.163064E+01 -1.070585E+01
     2.4000   -1.438366E-03  2.509905E-03  1.195612E+01 -1.085562E+01
     2.4500   -5.490156E-04  2.183925E-03  1.231226E+01 -1.097472E+01
     2.5000    1.892255E-04  1.857945E-03  1.266839E+01 -1.109383E+01
     2.5500    6.775896E-04  1.531965E-03  1.302453E+01 -1.121293E+01
     2.6000    8.770487E-04  1.205985E-03  1.338067E+01 -1.133204E+01
     2.6500    9.252966E-04  9.546928E-04  1.388837E+01 -1.129959E+01
     2.7000    6.799585E-04  7.034006E-04  1.439606E+01 -1.126714E+01
     2.7500    3.256446E-04  4.521083E-04  1.490376E+01 -1.123469E+01
     2.8000    5.867555E-05  2.008170E-04  1.541145E+01 -1.120224E+01
     2.8500   -1.656285E-04  2.883742E-04  1.631978E+01 -1.076916E+01
     2.9000   -3.754491E-04  3.759314E-04  1.722810E+01 -1.033608E+01
     2.9500   -3.032172E-04  4.634886E-04  1.813642E+01 -9.903000E+00
     3.0000    1.068772E-04  5.510458E-04  1.904475E+01 -9.469921E+00
     3.0500    3.494784E-04  6.341197E-04  1.943327E+01 -9.556645E+00
     3.1000    5.925052E-04  7.171936E-04  1.982179E+01 -9.643371E+00
     3.1500    7.826785E-04  8.002675E-04  2.021030E+01 -9.730096E+00
     3.2000    8.693106E-04  8.833415E-04  2.059882E+01 -9.816821E+00
     3.2500    7.699299E-04  9.020373E-04  2.096840E+01 -9.922494E+00
     3.3000    5.595439E-04  9.207332E-04  2.133797E+01 -1.002817E+01
     3.3500    2.628733E-04  9.394290E-04  2.170754E+01 -1.013384E+01
     3.4000   -8.226163E-05  9.581248E-04  2.207711E+01 -1.023951E+01
     3.4500   -4.093067E-04  9.405163E-04  2.244140E+01 -1.035047E+01
     3.5000   -6.713349E-04  9.229078E-04  2.280569E+01 -1.046142E+01
     3.5500   -8.366427E-04  9.052992E-04  2.316998E+01 -1.057237E+01
     3.6000   -8.873509E-04  8.876907E-04  2.353427E+01 -1.068333E+01
     3.6500   -8.022434E-04  8.503893E-04  2.390005E+01 -1.079279E+01
     3.7000   -6.198426E-04  8.130878E-04  2.426583E+01 -1.090226E+01
     3.7500   -3.727000E-04  7.757864E-04  2.463161E+01 -1.101172E+01
     3.8000   -9.964843E-05  7.384850E-04  2.499739E+01 -1.112119E+01
     3.8500    1.585052E-04  6.925898E-04  2.536365E+01 -1.123018E+01
     3.9000    3.636336E-04  6.466945E-04  2.572990E+01 -1.133917E+01
     3.9500    4.933431E-04  6.007993E-04  2.609615E+01 -1.144816E+01
     4.0000    5.388502E-04  5.549041E-04  2.646241E+01 -1.155715E+01
     4.0500    5.049967E-04  5.088409E-04  2.682654E+01 -1.166826E+01
     4.1000    4.089481E-04  4.627777E-04  2.719066E+01 -1.177938E+01
