# xx                                                               FEFF 9.9.1
# POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=28 Rmt= 1.320 Rnm= 1.527 K  shell
# Pot 1 Z=28 Rmt= 1.302 Rnm= 1.519
# Pot 2 Z=30 Rmt= 1.280 Rnm= 1.497
# Pot 3 Z=19 Rmt= 2.061 Rnm= 2.170
# Pot 4 Z=17 Rmt= 1.374 Rnm= 1.582
# Gam_ch=1.576E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# Mu=-7.123E+00eV kf=1.540E+00 Vint=-1.059E+01eV Rs_int= 2.355
# PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 S02  1.000                                        Global sig2  0.00000
 Debye-waller factor    0.0000000000000000        0.0000000000000000     
 -----------------------------------------------------------------------
       k         chi           mag          phase        phase-2kr  @#
     0.0000    4.400906E-02  6.547515E-02  2.404485E+00  2.404485E+00
     0.0500    4.310312E-02  6.466781E-02  2.412047E+00  1.944948E+00
     0.1000    4.220382E-02  6.386047E-02  2.419608E+00  1.485411E+00
     0.1500    3.970339E-02  6.165460E-02  2.441923E+00  1.040628E+00
     0.2000    3.725851E-02  5.944873E-02  2.464239E+00  5.958448E-01
     0.2500    3.371495E-02  5.638037E-02  2.500601E+00  1.651084E-01
     0.3000    3.030562E-02  5.331201E-02  2.536963E+00 -2.656280E-01
     0.3500    2.617036E-02  4.974559E-02  2.587603E+00 -6.820857E-01
     0.4000    2.227505E-02  4.617918E-02  2.638244E+00 -1.098543E+00
     0.4500    1.830650E-02  4.322904E-02  2.704313E+00 -1.499573E+00
     0.5000    1.461094E-02  4.027891E-02  2.770382E+00 -1.900603E+00
     0.5500    1.062307E-02  3.787513E-02  2.857303E+00 -2.280780E+00
     0.6000    6.955577E-03  3.547136E-02  2.944224E+00 -2.660957E+00
     0.6500    2.777308E-03  3.368194E-02  3.059042E+00 -3.013238E+00
     0.7000   -1.028919E-03  3.189253E-02  3.173860E+00 -3.365518E+00
     0.7500   -5.525655E-03  3.053365E-02  3.323565E+00 -3.682912E+00
     0.8000   -9.500136E-03  2.917478E-02  3.473269E+00 -4.000306E+00
     0.8500   -1.393478E-02  2.803748E-02  3.661737E+00 -4.278936E+00
     0.9000   -1.750613E-02  2.690019E-02  3.850205E+00 -4.557567E+00
     0.9500   -2.078889E-02  2.581332E-02  4.077867E+00 -4.797004E+00
     1.0000   -2.270798E-02  2.472646E-02  4.305528E+00 -5.036440E+00
     1.0500   -2.332784E-02  2.355983E-02  4.571938E+00 -5.237129E+00
     1.1000   -2.221579E-02  2.239320E-02  4.838348E+00 -5.437817E+00
     1.1500   -1.918544E-02  2.110563E-02  5.142259E+00 -5.601005E+00
     1.2000   -1.471785E-02  1.981806E-02  5.446169E+00 -5.764194E+00
     1.2500   -8.747706E-03  1.841178E-02  5.788091E+00 -5.889370E+00
     1.3000   -2.594598E-03  1.700549E-02  6.130013E+00 -6.014546E+00
     1.3500    3.489807E-03  1.550354E-02  6.510228E+00 -6.101430E+00
     1.4000    7.989565E-03  1.400160E-02  6.890444E+00 -6.188313E+00
     1.4500    1.067799E-02  1.246085E-02  7.312456E+00 -6.233399E+00
     1.5000    1.084221E-02  1.092010E-02  7.734468E+00 -6.278485E+00
     1.5500    8.856580E-03  9.425010E-03  8.203058E+00 -6.276994E+00
     1.6000    5.423481E-03  7.929919E-03  8.671647E+00 -6.275503E+00
     1.6500    1.507290E-03  6.592315E-03  9.194094E+00 -6.220155E+00
     1.7000   -1.511472E-03  5.254712E-03  9.716541E+00 -6.164806E+00
     1.7500   -3.232443E-03  4.184275E-03  1.030758E+01 -6.040865E+00
     1.8000   -3.099214E-03  3.113838E-03  1.089862E+01 -5.916923E+00
     1.8500   -1.955489E-03  2.346571E-03  1.158125E+01 -5.701393E+00
     1.9000   -4.704747E-04  1.579304E-03  1.226388E+01 -5.485862E+00
     1.9500    4.540817E-04  1.217192E-03  1.294867E+01 -5.268167E+00
     2.0000    7.488805E-04  8.550795E-04  1.363347E+01 -5.050472E+00
     2.0500    7.999546E-04  8.182609E-04  1.434909E+01 -4.801944E+00
     2.1000    4.687055E-04  7.814423E-04  1.506472E+01 -4.553417E+00
     2.1500   -5.384929E-05  7.446237E-04  1.578034E+01 -4.304889E+00
     2.2000   -5.017975E-04  7.078051E-04  1.649597E+01 -4.056362E+00
     2.2500   -6.807974E-04  6.970476E-04  1.706241E+01 -3.957022E+00
     2.3000   -6.446621E-04  6.862902E-04  1.762885E+01 -3.857683E+00
     2.3500   -4.111174E-04  6.755327E-04  1.819528E+01 -3.758344E+00
     2.4000   -5.831568E-05  6.647752E-04  1.876172E+01 -3.659004E+00
     2.4500    2.402025E-04  6.317253E-04  1.923960E+01 -3.648220E+00
     2.5000    4.567851E-04  5.986754E-04  1.971749E+01 -3.637435E+00
     2.5500    5.513705E-04  5.656254E-04  2.019537E+01 -3.626651E+00
     2.6000    5.156347E-04  5.325755E-04  2.067325E+01 -3.615866E+00
     2.6500    3.984740E-04  4.944754E-04  2.105404E+01 -3.702182E+00
     2.7000    2.409996E-04  4.563752E-04  2.143482E+01 -3.788497E+00
     2.7500    7.305047E-05  4.182750E-04  2.181560E+01 -3.874813E+00
     2.8000   -7.747873E-05  3.801749E-04  2.219638E+01 -3.961129E+00
     2.8500   -1.508048E-04  3.509649E-04  2.243529E+01 -4.189317E+00
     2.9000   -2.030807E-04  3.217549E-04  2.267420E+01 -4.417506E+00
     2.9500   -2.330971E-04  2.925449E-04  2.291311E+01 -4.645694E+00
     3.0000   -2.415182E-04  2.633349E-04  2.315202E+01 -4.873882E+00
     3.0500   -2.784074E-04  2.856502E-04  2.333628E+01 -5.156730E+00
     3.1000   -3.077014E-04  3.079655E-04  2.352053E+01 -5.439577E+00
     3.1500   -3.269176E-04  3.302809E-04  2.370478E+01 -5.722424E+00
     3.2000   -3.339028E-04  3.525963E-04  2.388903E+01 -6.005272E+00
     3.2500   -3.306182E-04  4.073682E-04  2.418586E+01 -6.175535E+00
     3.3000   -2.796966E-04  4.621401E-04  2.448270E+01 -6.345798E+00
     3.3500   -1.788046E-04  5.169121E-04  2.477953E+01 -6.516062E+00
     3.4000   -3.221015E-05  5.716840E-04  2.507637E+01 -6.686325E+00
     3.4500    1.827513E-04  6.254257E-04  2.542927E+01 -6.800521E+00
     3.5000    4.107156E-04  6.791675E-04  2.578217E+01 -6.914718E+00
     3.5500    6.176443E-04  7.329092E-04  2.613508E+01 -7.028914E+00
     3.6000    7.684452E-04  7.866509E-04  2.648798E+01 -7.143110E+00
     3.6500    8.159587E-04  8.260642E-04  2.686012E+01 -7.238071E+00
     3.7000    7.473012E-04  8.654775E-04  2.723225E+01 -7.333031E+00
     3.7500    5.618833E-04  9.048908E-04  2.760439E+01 -7.427991E+00
     3.8000    2.770790E-04  9.443041E-04  2.797653E+01 -7.522951E+00
     3.8500   -8.239254E-05  9.666580E-04  2.835967E+01 -7.606908E+00
     3.9000   -4.465689E-04  9.890120E-04  2.874281E+01 -7.690865E+00
     3.9500   -7.609007E-04  1.011366E-03  2.912596E+01 -7.774821E+00
     4.0000   -9.759040E-04  1.033720E-03  2.950910E+01 -7.858778E+00
     4.0500   -1.037277E-03  1.038664E-03  2.989682E+01 -7.938156E+00
     4.1000   -9.444692E-04  1.043608E-03  3.028454E+01 -8.017533E+00
     4.1500   -7.098611E-04  1.048553E-03  3.067226E+01 -8.096911E+00
