 # xx                                                               FEFF 9.9.1
 # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
 # Abs   Z=28 Rmt= 1.320 Rnm= 1.527 K  shell
 # Pot 1 Z=28 Rmt= 1.302 Rnm= 1.519
 # Pot 2 Z=30 Rmt= 1.280 Rnm= 1.497
 # Pot 3 Z=19 Rmt= 2.061 Rnm= 2.170
 # Pot 4 Z=17 Rmt= 1.374 Rnm= 1.582
 # Gam_ch=1.576E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
 # Mu=-7.123E+00eV kf=1.540E+00 Vint=-1.059E+01eV Rs_int= 2.355
 # PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    4      icalc       2
 -----------------------------------------------------------------------
   2   1.000   2.4208    3.2101   -7.12338 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  28 Ni       absorbing atom
    -1.0400    1.7500   -1.3100  4  17 Cl    
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  3.5265E+00  0.0000E+00 -5.7335E+00  8.919E-01  9.2864E+00  9.6029E-01
  0.100  3.5320E+00  2.7560E-01 -6.2081E+00  8.920E-01  9.3344E+00  9.6526E-01
  0.200  3.5482E+00  5.2586E-01 -6.6637E+00  8.922E-01  9.4751E+00  9.8003E-01
  0.300  3.5751E+00  7.3231E-01 -7.1002E+00  8.927E-01  9.6993E+00  1.0042E+00
  0.400  3.6125E+00  8.8411E-01 -7.5151E+00  8.939E-01  9.9920E+00  1.0371E+00
  0.500  3.6595E+00  9.8815E-01 -7.9121E+00  8.961E-01  1.0333E+01  1.0781E+00
  0.600  3.7152E+00  1.0495E+00 -8.2877E+00  8.996E-01  1.0697E+01  1.1263E+00
  0.700  3.7776E+00  1.0789E+00 -8.6413E+00  9.050E-01  1.1059E+01  1.1809E+00
  0.800  3.8442E+00  1.0851E+00 -8.9704E+00  9.124E-01  1.1389E+01  1.2412E+00
  0.900  3.9119E+00  1.0752E+00 -9.2723E+00  9.223E-01  1.1664E+01  1.3067E+00
  1.000  3.9771E+00  1.0537E+00 -9.5445E+00  9.345E-01  1.1864E+01  1.3769E+00
  1.100  4.0359E+00  1.0227E+00 -9.7820E+00  9.491E-01  1.1976E+01  1.4512E+00
