# xx                                                               FEFF 9.9.1
# POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=28 Rmt= 1.320 Rnm= 1.527 K  shell
# Pot 1 Z=28 Rmt= 1.302 Rnm= 1.519
# Pot 2 Z=30 Rmt= 1.280 Rnm= 1.497
# Pot 3 Z=19 Rmt= 2.061 Rnm= 2.170
# Pot 4 Z=17 Rmt= 1.374 Rnm= 1.582
# Gam_ch=1.576E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# Mu=-7.123E+00eV kf=1.540E+00 Vint=-1.059E+01eV Rs_int= 2.355
# PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 S02  1.000                                        Global sig2  0.00000
 Debye-waller factor    0.0000000000000000        0.0000000000000000     
 -----------------------------------------------------------------------
       k         chi           mag          phase        phase-2kr  @#
     3.4500   -3.702469E-03  4.483400E-03  2.296280E+01 -5.047283E+00
     3.5000   -4.391039E-03  4.528208E-03  2.331518E+01 -5.100844E+00
     3.5500   -4.547534E-03  4.573017E-03  2.366756E+01 -5.154405E+00
     3.6000   -4.141904E-03  4.617825E-03  2.401995E+01 -5.207965E+00
     3.6500   -3.195234E-03  4.637964E-03  2.437273E+01 -5.261125E+00
     3.7000   -1.844917E-03  4.658103E-03  2.472551E+01 -5.314285E+00
     3.7500   -2.545818E-04  4.678243E-03  2.507830E+01 -5.367444E+00
     3.8000    1.381007E-03  4.698382E-03  2.543108E+01 -5.420604E+00
     3.8500    2.847665E-03  4.695078E-03  2.578442E+01 -5.473208E+00
     3.9000    3.960661E-03  4.691774E-03  2.613776E+01 -5.525811E+00
     3.9500    4.583072E-03  4.688471E-03  2.649110E+01 -5.578415E+00
     4.0000    4.638737E-03  4.685167E-03  2.684444E+01 -5.631019E+00
     4.0500    4.102186E-03  4.660271E-03  2.719795E+01 -5.683446E+00
     4.1000    3.066467E-03  4.635376E-03  2.755147E+01 -5.735874E+00
     4.1500    1.664423E-03  4.610480E-03  2.790498E+01 -5.788301E+00
     4.2000    7.260341E-05  4.585584E-03  2.825850E+01 -5.840729E+00
     4.2500   -1.506708E-03  4.550989E-03  2.861177E+01 -5.893398E+00
     4.3000   -2.877338E-03  4.516393E-03  2.896505E+01 -5.946068E+00
     4.3500   -3.874138E-03  4.481798E-03  2.931832E+01 -5.998737E+00
     4.4000   -4.380408E-03  4.447203E-03  2.967160E+01 -6.051407E+00
     4.4500   -4.337719E-03  4.409315E-03  3.002558E+01 -6.103362E+00
     4.5000   -3.761851E-03  4.371428E-03  3.037957E+01 -6.155318E+00
     4.5500   -2.732876E-03  4.333541E-03  3.073356E+01 -6.207274E+00
     4.6000   -1.385400E-03  4.295654E-03  3.108754E+01 -6.259230E+00
     4.6500    1.162842E-04  4.256663E-03  3.144325E+01 -6.309470E+00
     4.7000    1.576263E-03  4.217672E-03  3.179895E+01 -6.359709E+00
     4.7500    2.813709E-03  4.178681E-03  3.215466E+01 -6.409949E+00
     4.8000    3.678811E-03  4.139690E-03  3.251036E+01 -6.460189E+00
     4.8500    4.071172E-03  4.099894E-03  3.286829E+01 -6.508205E+00
     4.9000    3.944220E-03  4.060098E-03  3.322621E+01 -6.556222E+00
     4.9500    3.323953E-03  4.020302E-03  3.358414E+01 -6.604238E+00
     5.0000    2.298061E-03  3.980506E-03  3.394207E+01 -6.652255E+00
     5.0500    9.970392E-04  3.940232E-03  3.430170E+01 -6.698566E+00
     5.1000   -4.041262E-04  3.899958E-03  3.466133E+01 -6.744878E+00
     5.1500   -1.725390E-03  3.859684E-03  3.502096E+01 -6.791190E+00
     5.2000   -2.800539E-03  3.819410E-03  3.538059E+01 -6.837501E+00
     5.2500   -3.499080E-03  3.777664E-03  3.574187E+01 -6.882166E+00
     5.3000   -3.734736E-03  3.735919E-03  3.610315E+01 -6.926830E+00
     5.3500   -3.487462E-03  3.694173E-03  3.646443E+01 -6.971494E+00
     5.4000   -2.799659E-03  3.652428E-03  3.682571E+01 -7.016159E+00
     5.4500   -1.767453E-03  3.611254E-03  3.718768E+01 -7.060132E+00
     5.5000   -5.316180E-04  3.570080E-03  3.754965E+01 -7.104106E+00
     5.5500    7.442775E-04  3.528906E-03  3.791162E+01 -7.148079E+00
     5.6000    1.895211E-03  3.487732E-03  3.827359E+01 -7.192053E+00
     5.6500    2.777189E-03  3.446849E-03  3.863600E+01 -7.235583E+00
     5.7000    3.281207E-03  3.405965E-03  3.899841E+01 -7.279113E+00
     5.7500    3.351184E-03  3.365082E-03  3.936082E+01 -7.322644E+00
     5.8000    2.988434E-03  3.324199E-03  3.972324E+01 -7.366174E+00
     5.8500    2.250845E-03  3.284773E-03  4.008578E+01 -7.409578E+00
     5.9000    1.241010E-03  3.245348E-03  4.044832E+01 -7.452982E+00
     5.9500    9.568032E-05  3.205923E-03  4.081086E+01 -7.496386E+00
     6.0000   -1.034136E-03  3.166497E-03  4.117339E+01 -7.539790E+00
     6.0500   -2.006446E-03  3.130073E-03  4.153653E+01 -7.582594E+00
     6.1000   -2.697200E-03  3.093648E-03  4.189967E+01 -7.625397E+00
     6.1500   -3.023491E-03  3.057223E-03  4.226281E+01 -7.668201E+00
     6.2000   -2.951602E-03  3.020799E-03  4.262595E+01 -7.711004E+00
     6.2500   -2.500249E-03  2.984374E-03  4.298909E+01 -7.753808E+00
     6.3000   -1.736924E-03  2.947949E-03  4.335223E+01 -7.796612E+00
     6.3500   -7.679640E-04  2.911525E-03  4.371537E+01 -7.839415E+00
     6.4000    2.761990E-04  2.875100E-03  4.407851E+01 -7.882219E+00
     6.4500    1.258581E-03  2.838675E-03  4.444165E+01 -7.925022E+00
     6.5000    2.053614E-03  2.802251E-03  4.480479E+01 -7.967826E+00
     6.5500    2.569305E-03  2.769298E-03  4.517072E+01 -8.007839E+00
     6.6000    2.735975E-03  2.736345E-03  4.553665E+01 -8.047851E+00
     6.6500    2.539966E-03  2.703392E-03  4.590258E+01 -8.087864E+00
     6.7000    2.015696E-03  2.670439E-03  4.626851E+01 -8.127877E+00
     6.7500    1.239982E-03  2.637486E-03  4.663444E+01 -8.167890E+00
     6.8000    3.208852E-04  2.604533E-03  4.700037E+01 -8.207902E+00
     6.8500   -6.172994E-04  2.571580E-03  4.736630E+01 -8.247915E+00
     6.9000   -1.450850E-03  2.538627E-03  4.773223E+01 -8.287928E+00
     6.9500   -2.072931E-03  2.505674E-03  4.809816E+01 -8.327941E+00
     7.0000   -2.407271E-03  2.472721E-03  4.846410E+01 -8.367953E+00
     7.0500   -2.417448E-03  2.441157E-03  4.883417E+01 -8.403823E+00
     7.1000   -2.103480E-03  2.409593E-03  4.920424E+01 -8.439692E+00
     7.1500   -1.515840E-03  2.378029E-03  4.957432E+01 -8.475561E+00
     7.2000   -7.405497E-04  2.346465E-03  4.994439E+01 -8.511430E+00
     7.2500    1.133447E-04  2.314901E-03  5.031447E+01 -8.547299E+00
     7.3000    9.290874E-04  2.283337E-03  5.068454E+01 -8.583169E+00
     7.3500    1.598176E-03  2.251773E-03  5.105461E+01 -8.619038E+00
     7.4000    2.034789E-03  2.220209E-03  5.142469E+01 -8.654907E+00
     7.4500    2.186759E-03  2.188645E-03  5.179476E+01 -8.690776E+00
     7.5000    2.041698E-03  2.157082E-03  5.216484E+01 -8.726646E+00
     7.5500    1.626149E-03  2.127930E-03  5.253729E+01 -8.760138E+00
     7.6000    1.001301E-03  2.098778E-03  5.290974E+01 -8.793630E+00
     7.6500    2.577970E-04  2.069627E-03  5.328219E+01 -8.827122E+00
     7.7000   -5.000055E-04  2.040475E-03  5.365464E+01 -8.860614E+00
     7.7500   -1.168676E-03  2.011324E-03  5.402709E+01 -8.894105E+00
     7.8000   -1.659825E-03  1.982172E-03  5.439954E+01 -8.927597E+00
     7.8500   -1.911776E-03  1.953020E-03  5.477199E+01 -8.961089E+00
     7.9000   -1.897240E-03  1.923869E-03  5.514444E+01 -8.994581E+00
     7.9500   -1.626065E-03  1.894717E-03  5.551690E+01 -9.028073E+00
     8.0000   -1.142808E-03  1.865565E-03  5.588935E+01 -9.061565E+00
     8.0500   -5.207438E-04  1.841906E-03  5.626204E+01 -9.094817E+00
     8.1000    1.562910E-04  1.818246E-03  5.663473E+01 -9.128068E+00
     8.1500    7.947008E-04  1.794586E-03  5.700742E+01 -9.161319E+00
     8.2000    1.308550E-03  1.770926E-03  5.738011E+01 -9.194571E+00
     8.2500    1.631127E-03  1.747267E-03  5.775281E+01 -9.227822E+00
     8.3000    1.723576E-03  1.723607E-03  5.812550E+01 -9.261073E+00
     8.3500    1.579482E-03  1.699947E-03  5.849819E+01 -9.294324E+00
     8.4000    1.224899E-03  1.676287E-03  5.887088E+01 -9.327576E+00
     8.4500    7.139003E-04  1.652628E-03  5.924357E+01 -9.360827E+00
     8.5000    1.204237E-04  1.628968E-03  5.961627E+01 -9.394078E+00
     8.5500   -4.744440E-04  1.609139E-03  5.998955E+01 -9.426736E+00
     8.6000   -9.901463E-04  1.589310E-03  6.036284E+01 -9.459393E+00
     8.6500   -1.358161E-03  1.569481E-03  6.073612E+01 -9.492051E+00
     8.7000   -1.531867E-03  1.549652E-03  6.110941E+01 -9.524709E+00
     8.7500   -1.492401E-03  1.529822E-03  6.148269E+01 -9.557366E+00
     8.8000   -1.250564E-03  1.509993E-03  6.185598E+01 -9.590024E+00
     8.8500   -8.445898E-04  1.490164E-03  6.222927E+01 -9.622682E+00
     8.9000   -3.342042E-04  1.470335E-03  6.260255E+01 -9.655339E+00
     8.9500    2.081279E-04  1.450506E-03  6.297584E+01 -9.687997E+00
     9.0000    7.074815E-04  1.430677E-03  6.334912E+01 -9.720655E+00
     9.0500    1.099705E-03  1.412966E-03  6.372380E+01 -9.751920E+00
     9.1000    1.331207E-03  1.395256E-03  6.409848E+01 -9.783186E+00
     9.1500    1.374122E-03  1.377545E-03  6.447316E+01 -9.814451E+00
     9.2000    1.227294E-03  1.359834E-03  6.484783E+01 -9.845717E+00
     9.2500    9.157615E-04  1.342124E-03  6.522251E+01 -9.876982E+00
     9.3000    4.866455E-04  1.324413E-03  6.559719E+01 -9.908248E+00
     9.3500    2.064507E-06  1.306702E-03  6.597187E+01 -9.939513E+00
     9.4000   -4.698398E-04  1.288992E-03  6.634654E+01 -9.970779E+00
     9.4500   -8.644829E-04  1.271281E-03  6.672122E+01 -1.000204E+01
     9.5000   -1.129676E-03  1.253570E-03  6.709590E+01 -1.003331E+01
     9.5500   -1.233878E-03  1.237067E-03  6.747243E+01 -1.006272E+01
     9.6000   -1.164332E-03  1.220563E-03  6.784896E+01 -1.009213E+01
     9.6500   -9.352942E-04  1.204059E-03  6.822549E+01 -1.012154E+01
     9.7000   -5.828559E-04  1.187555E-03  6.860203E+01 -1.015095E+01
     9.7500   -1.593286E-04  1.171052E-03  6.897856E+01 -1.018037E+01
     9.8000    2.744982E-04  1.154548E-03  6.935509E+01 -1.020978E+01
     9.8500    6.580766E-04  1.138044E-03  6.973162E+01 -1.023919E+01
     9.9000    9.395505E-04  1.121541E-03  7.010816E+01 -1.026860E+01
     9.9500    1.082757E-03  1.105037E-03  7.048469E+01 -1.029801E+01
    10.0000    1.071834E-03  1.088533E-03  7.086122E+01 -1.032742E+01
    10.0500    9.152880E-04  1.075992E-03  7.123942E+01 -1.035517E+01
    10.1000    6.342462E-04  1.063450E-03  7.161762E+01 -1.038291E+01
    10.1500    2.709957E-04  1.050909E-03  7.199582E+01 -1.041065E+01
    10.2000   -1.216081E-04  1.038368E-03  7.237402E+01 -1.043840E+01
    10.2500   -4.878262E-04  1.025826E-03  7.275221E+01 -1.046614E+01
    10.3000   -7.769485E-04  1.013285E-03  7.313041E+01 -1.049389E+01
    10.3500   -9.503134E-04  1.000743E-03  7.350861E+01 -1.052163E+01
    10.4000   -9.864602E-04  9.882021E-04  7.388681E+01 -1.054938E+01
    10.4500   -8.837327E-04  9.756607E-04  7.426501E+01 -1.057712E+01
    10.5000   -6.600252E-04  9.631193E-04  7.464321E+01 -1.060486E+01
    10.5500   -3.497762E-04  9.505780E-04  7.502141E+01 -1.063261E+01
    10.6000    1.297393E-06  9.380366E-04  7.539961E+01 -1.066035E+01
    10.6500    3.429259E-04  9.254952E-04  7.577781E+01 -1.068810E+01
    10.7000    6.274835E-04  9.129538E-04  7.615600E+01 -1.071584E+01
    10.7500    8.166267E-04  9.004124E-04  7.653420E+01 -1.074359E+01
    10.8000    8.864484E-04  8.878711E-04  7.691240E+01 -1.077133E+01
    10.8500    8.304574E-04  8.753297E-04  7.729060E+01 -1.079907E+01
    10.9000    6.600189E-04  8.627883E-04  7.766880E+01 -1.082682E+01
    10.9500    4.022598E-04  8.502469E-04  7.804700E+01 -1.085456E+01
    11.0000    9.580597E-05  8.377056E-04  7.842520E+01 -1.088231E+01
    11.0500   -2.171596E-04  8.287363E-04  7.880495E+01 -1.090850E+01
    11.1000   -4.927659E-04  8.197671E-04  7.918470E+01 -1.093469E+01
    11.1500   -6.928459E-04  8.107978E-04  7.956445E+01 -1.096089E+01
    11.2000   -7.907515E-04  8.018285E-04  7.994420E+01 -1.098708E+01
    11.2500   -7.748850E-04  7.928593E-04  8.032395E+01 -1.101327E+01
    11.3000   -6.500164E-04  7.838900E-04  8.070370E+01 -1.103946E+01
    11.3500   -4.362465E-04  7.749207E-04  8.108345E+01 -1.106566E+01
    11.4000   -1.658135E-04  7.659515E-04  8.146320E+01 -1.109185E+01
    11.4500    1.217535E-04  7.569822E-04  8.184295E+01 -1.111804E+01
    11.5000    3.854094E-04  7.480129E-04  8.222270E+01 -1.114424E+01
    11.5500    5.884510E-04  7.390437E-04  8.260245E+01 -1.117043E+01
    11.6000    7.036239E-04  7.300744E-04  8.298220E+01 -1.119662E+01
    11.6500    7.167669E-04  7.211052E-04  8.336195E+01 -1.122281E+01
    11.7000    6.285092E-04  7.121359E-04  8.374170E+01 -1.124901E+01
    11.7500    4.538246E-04  7.031666E-04  8.412145E+01 -1.127520E+01
    11.8000    2.195558E-04  6.941974E-04  8.450120E+01 -1.130139E+01
    11.8500   -3.968827E-05  6.852281E-04  8.488095E+01 -1.132759E+01
    11.9000   -2.866389E-04  6.762588E-04  8.526070E+01 -1.135378E+01
    11.9500   -4.867249E-04  6.672896E-04  8.564045E+01 -1.137997E+01
