# xx                                                               FEFF 9.9.1
# POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=28 Rmt= 1.320 Rnm= 1.527 K  shell
# Pot 1 Z=28 Rmt= 1.302 Rnm= 1.519
# Pot 2 Z=30 Rmt= 1.280 Rnm= 1.497
# Pot 3 Z=19 Rmt= 2.061 Rnm= 2.170
# Pot 4 Z=17 Rmt= 1.374 Rnm= 1.582
# Gam_ch=1.576E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# Mu=-7.123E+00eV kf=1.540E+00 Vint=-1.059E+01eV Rs_int= 2.355
# PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 S02  1.000                                        Global sig2  0.00000
 Debye-waller factor    0.0000000000000000        0.0000000000000000     
 -----------------------------------------------------------------------
       k         chi           mag          phase        phase-2kr  @#
     0.0000    6.229289E-02  6.899143E-02  2.015106E+00  2.015106E+00
     0.0500    6.135755E-02  6.844883E-02  2.030012E+00  1.627674E+00
     0.1000    6.041574E-02  6.790622E-02  2.044919E+00  1.240241E+00
     0.1500    5.763315E-02  6.636363E-02  2.089536E+00  8.825194E-01
     0.2000    5.480408E-02  6.482103E-02  2.134153E+00  5.247976E-01
     0.2500    5.022651E-02  6.250241E-02  2.208285E+00  1.965911E-01
     0.3000    4.557745E-02  6.018379E-02  2.282417E+00 -1.316155E-01
     0.3500    3.935885E-02  5.742295E-02  2.386412E+00 -4.299592E-01
     0.4000    3.313234E-02  5.466210E-02  2.490407E+00 -7.283030E-01
     0.4500    2.562335E-02  5.167105E-02  2.622729E+00 -9.983195E-01
     0.5000    1.835174E-02  4.868000E-02  2.755051E+00 -1.268336E+00
     0.5500    1.022318E-02  4.572580E-02  2.916111E+00 -1.509615E+00
     0.6000    2.753516E-03  4.277160E-02  3.077171E+00 -1.750894E+00
     0.6500   -4.999512E-03  4.000426E-02  3.266895E+00 -1.963509E+00
     0.7000   -1.153753E-02  3.723692E-02  3.456619E+00 -2.176124E+00
     0.7500   -1.766759E-02  3.473801E-02  3.675145E+00 -2.359936E+00
     0.8000   -2.202441E-02  3.223910E-02  3.893672E+00 -2.543748E+00
     0.8500   -2.527469E-02  3.003922E-02  4.141442E+00 -2.698316E+00
     0.9000   -2.639814E-02  2.783934E-02  4.389212E+00 -2.852885E+00
     0.9500   -2.591319E-02  2.593986E-02  4.667032E+00 -2.977404E+00
     1.0000   -2.339375E-02  2.404039E-02  4.944852E+00 -3.101922E+00
     1.0500   -1.922630E-02  2.243572E-02  5.253862E+00 -3.195251E+00
     1.1000   -1.374059E-02  2.083105E-02  5.562872E+00 -3.288580E+00
     1.1500   -7.220415E-03  1.951101E-02  5.904102E+00 -3.349688E+00
     1.2000   -6.884059E-04  1.819097E-02  6.245333E+00 -3.410796E+00
     1.2500    5.644941E-03  1.714914E-02  6.618607E+00 -3.439861E+00
     1.3000    1.048336E-02  1.610732E-02  6.991881E+00 -3.468925E+00
     1.3500    1.372401E-02  1.530650E-02  7.395246E+00 -3.467899E+00
     1.4000    1.448346E-02  1.450569E-02  7.798611E+00 -3.466873E+00
     1.4500    1.293613E-02  1.389186E-02  8.227081E+00 -3.440742E+00
     1.5000    9.235937E-03  1.327803E-02  8.655550E+00 -3.414611E+00
     1.5500    4.043154E-03  1.275884E-02  9.102329E+00 -3.370172E+00
     1.6000   -1.517825E-03  1.223964E-02  9.549107E+00 -3.325732E+00
     1.6500   -6.437803E-03  1.171130E-02  1.000679E+01 -3.270385E+00
     1.7000   -9.642545E-03  1.118296E-02  1.046448E+01 -3.215037E+00
     1.7500   -1.055198E-02  1.057751E-02  1.092609E+01 -3.155764E+00
     1.8000   -9.215146E-03  9.972052E-03  1.138770E+01 -3.096490E+00
     1.8500   -5.895822E-03  9.175654E-03  1.186855E+01 -3.017985E+00
     1.9000   -1.803883E-03  8.379257E-03  1.234939E+01 -2.939479E+00
     1.9500    1.462432E-03  7.133657E-03  1.277284E+01 -2.918371E+00
     2.0000    3.468513E-03  5.888057E-03  1.319629E+01 -2.897264E+00
     2.0500    4.398870E-03  5.343586E-03  1.353340E+01 -2.962483E+00
     2.1000    4.629520E-03  4.799116E-03  1.387052E+01 -3.027702E+00
     2.1500    4.244083E-03  4.254645E-03  1.420764E+01 -3.092921E+00
     2.2000    3.406224E-03  3.710175E-03  1.454476E+01 -3.158141E+00
     2.2500    2.636262E-03  3.470051E-03  1.484508E+01 -3.260160E+00
     2.3000    1.722693E-03  3.229926E-03  1.514540E+01 -3.362178E+00
     2.3500    7.750915E-04  2.989802E-03  1.544572E+01 -3.464197E+00
     2.4000   -1.046808E-04  2.749678E-03  1.574604E+01 -3.566216E+00
     2.4500   -9.010949E-04  2.624466E-03  1.605844E+01 -3.656159E+00
     2.5000   -1.537997E-03  2.499255E-03  1.637083E+01 -3.746102E+00
     2.5500   -1.965355E-03  2.374043E-03  1.668323E+01 -3.836045E+00
     2.6000   -2.159293E-03  2.248832E-03  1.699563E+01 -3.925988E+00
     2.6500   -2.164215E-03  2.166220E-03  1.732178E+01 -4.002169E+00
     2.7000   -1.943221E-03  2.083608E-03  1.764794E+01 -4.078350E+00
     2.7500   -1.536438E-03  2.000996E-03  1.797410E+01 -4.154531E+00
     2.8000   -1.001569E-03  1.918385E-03  1.830026E+01 -4.230712E+00
     2.8500   -3.969671E-04  1.855766E-03  1.863398E+01 -4.299327E+00
     2.9000    2.113635E-04  1.793148E-03  1.896770E+01 -4.367943E+00
     2.9500    7.556353E-04  1.730530E-03  1.930143E+01 -4.436558E+00
     3.0000    1.179624E-03  1.667912E-03  1.963515E+01 -4.505173E+00
     3.0500    1.454539E-03  1.617223E-03  1.996796E+01 -4.574700E+00
     3.1000    1.555348E-03  1.566535E-03  2.030077E+01 -4.644226E+00
     3.1500    1.481514E-03  1.515846E-03  2.063359E+01 -4.713752E+00
     3.2000    1.252100E-03  1.465157E-03  2.096640E+01 -4.783279E+00
     3.2500    9.159144E-04  1.423673E-03  2.129229E+01 -4.859730E+00
     3.3000    5.036497E-04  1.382189E-03  2.161818E+01 -4.936180E+00
     3.3500    6.310374E-05  1.340705E-03  2.194406E+01 -5.012631E+00
     3.4000   -3.575521E-04  1.299221E-03  2.226995E+01 -5.089082E+00
     3.4500   -7.108662E-04  1.266184E-03  2.258725E+01 -5.174118E+00
     3.5000   -9.761487E-04  1.233148E-03  2.290456E+01 -5.259154E+00
     3.5500   -1.131377E-03  1.200112E-03  2.322186E+01 -5.344191E+00
     3.6000   -1.166773E-03  1.167076E-03  2.353916E+01 -5.429227E+00
     3.6500   -1.094318E-03  1.141748E-03  2.385119E+01 -5.519534E+00
     3.7000   -9.206129E-04  1.116420E-03  2.416323E+01 -5.609840E+00
     3.7500   -6.667956E-04  1.091092E-03  2.447526E+01 -5.700147E+00
     3.8000   -3.608906E-04  1.065764E-03  2.478729E+01 -5.790454E+00
     3.8500   -3.539675E-05  1.044857E-03  2.509886E+01 -5.881224E+00
     3.9000    2.806952E-04  1.023951E-03  2.541043E+01 -5.971995E+00
     3.9500    5.574317E-04  1.003045E-03  2.572199E+01 -6.062766E+00
     4.0000    7.698360E-04  9.821383E-04  2.603356E+01 -6.153536E+00
     4.0500    9.003013E-04  9.608602E-04  2.634661E+01 -6.242828E+00
     4.1000    9.386777E-04  9.395822E-04  2.665966E+01 -6.332120E+00
     4.1500    8.852390E-04  9.183041E-04  2.697270E+01 -6.421412E+00
