# xx                                                               FEFF 9.9.1
# POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=28 Rmt= 1.320 Rnm= 1.527 K  shell
# Pot 1 Z=28 Rmt= 1.302 Rnm= 1.519
# Pot 2 Z=30 Rmt= 1.280 Rnm= 1.497
# Pot 3 Z=19 Rmt= 2.061 Rnm= 2.170
# Pot 4 Z=17 Rmt= 1.374 Rnm= 1.582
# Gam_ch=1.576E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# Mu=-7.123E+00eV kf=1.540E+00 Vint=-1.059E+01eV Rs_int= 2.355
# PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 S02  1.000                                        Global sig2  0.00000
 Debye-waller factor    0.0000000000000000        0.0000000000000000     
 -----------------------------------------------------------------------
       k         chi           mag          phase        phase-2kr  @#
     0.0000    6.275508E-02  1.217226E-01  5.416589E-01  5.416589E-01
     0.0500    6.371094E-02  1.204837E-01  5.571781E-01  9.046856E-02
     0.1000    6.461881E-02  1.192447E-01  5.726972E-01 -3.607218E-01
     0.1500    6.718022E-02  1.157716E-01  6.190757E-01 -7.810528E-01
     0.2000    6.933488E-02  1.122984E-01  6.654542E-01 -1.201384E+00
     0.2500    7.247496E-02  1.072090E-01  7.423417E-01 -1.591206E+00
     0.3000    7.461068E-02  1.021197E-01  8.192293E-01 -1.981028E+00
     0.3500    7.683725E-02  9.605177E-02  9.272228E-01 -2.339744E+00
     0.4000    7.738366E-02  8.998384E-02  1.035216E+00 -2.698460E+00
     0.4500    7.730953E-02  8.389514E-02  1.171930E+00 -3.028456E+00
     0.5000    7.514812E-02  7.780643E-02  1.308644E+00 -3.358451E+00
     0.5500    7.167553E-02  7.200616E-02  1.474930E+00 -3.658875E+00
     0.6000    6.604179E-02  6.620588E-02  1.641216E+00 -3.959298E+00
     0.6500    5.884467E-02  6.097929E-02  1.836171E+00 -4.231053E+00
     0.7000    4.994921E-02  5.575270E-02  2.031125E+00 -4.502808E+00
     0.7500    3.965417E-02  5.115746E-02  2.254657E+00 -4.745986E+00
     0.8000    2.867313E-02  4.656223E-02  2.478189E+00 -4.989163E+00
     0.8500    1.703262E-02  4.257183E-02  2.729976E+00 -5.204085E+00
     0.9000    6.140214E-03  3.858144E-02  2.981764E+00 -5.419007E+00
     0.9500   -4.194398E-03  3.512233E-02  3.261301E+00 -5.606180E+00
     1.0000   -1.230823E-02  3.166322E-02  3.540838E+00 -5.793352E+00
     1.0500   -1.861732E-02  2.864573E-02  3.849067E+00 -5.951833E+00
     1.1000   -2.178019E-02  2.562825E-02  4.157295E+00 -6.110314E+00
     1.1500   -2.243887E-02  2.298088E-02  4.494773E+00 -6.239545E+00
     1.2000   -2.018762E-02  2.033351E-02  4.832251E+00 -6.368777E+00
     1.2500   -1.589728E-02  1.800779E-02  5.201396E+00 -6.466342E+00
     1.3000   -1.025353E-02  1.568208E-02  5.570540E+00 -6.563907E+00
     1.3500   -4.163645E-03  1.363561E-02  5.972879E+00 -6.628278E+00
     1.4000    1.065063E-03  1.158914E-02  6.375217E+00 -6.692649E+00
     1.4500    4.980845E-03  9.818225E-03  6.815241E+00 -6.719334E+00
     1.5000    6.647556E-03  8.047305E-03  7.255266E+00 -6.746019E+00
     1.5500    6.527146E-03  6.571063E-03  7.738302E+00 -6.729692E+00
     1.6000    4.754893E-03  5.094821E-03  8.221339E+00 -6.713365E+00
     1.6500    2.450019E-03  3.950673E-03  8.755841E+00 -6.645572E+00
     1.7000    3.761595E-04  2.806525E-03  9.290343E+00 -6.577780E+00
     1.7500   -9.219073E-04  2.016622E-03  9.899571E+00 -6.435261E+00
     1.8000   -1.084231E-03  1.226720E-03  1.050880E+01 -6.292743E+00
     1.8500   -7.163543E-04  7.627831E-04  1.134627E+01 -5.921977E+00
     1.9000   -1.115751E-04  2.988469E-04  1.218375E+01 -5.551210E+00
     1.9500    1.914938E-04  2.062683E-04  1.375638E+01 -4.445291E+00
     2.0000    4.205960E-05  1.136899E-04  1.532901E+01 -3.339372E+00
     2.0500   -2.636074E-05  1.179040E-04  1.593345E+01 -3.201642E+00
     2.1000   -9.010852E-05  1.221182E-04  1.653789E+01 -3.063912E+00
     2.1500   -1.251584E-04  1.263324E-04  1.714233E+01 -2.926183E+00
     2.2000   -1.165089E-04  1.305466E-04  1.774676E+01 -2.788453E+00
     2.2500   -7.084266E-05  1.282352E-04  1.826426E+01 -2.737664E+00
     2.3000   -8.530362E-06  1.259238E-04  1.878176E+01 -2.686875E+00
     2.3500    5.373420E-05  1.236124E-04  1.929926E+01 -2.636086E+00
     2.4000    9.986725E-05  1.213010E-04  1.981676E+01 -2.585297E+00
     2.4500    1.200107E-04  1.213476E-04  2.027178E+01 -2.596988E+00
     2.5000    1.157386E-04  1.213941E-04  2.072680E+01 -2.608679E+00
     2.5500    8.790209E-05  1.214406E-04  2.118181E+01 -2.620369E+00
     2.6000    4.214976E-05  1.214872E-04  2.163683E+01 -2.632060E+00
     2.6500    3.401440E-06  1.240184E-04  2.196372E+01 -2.771885E+00
     2.7000   -3.733201E-05  1.265496E-04  2.229060E+01 -2.911710E+00
     2.7500   -7.566496E-05  1.290808E-04  2.261749E+01 -3.051534E+00
     2.8000   -1.073015E-04  1.316120E-04  2.294437E+01 -3.191359E+00
     2.8500   -1.382574E-04  1.448395E-04  2.325931E+01 -3.343127E+00
     2.9000   -1.580549E-04  1.580669E-04  2.357426E+01 -3.494895E+00
     2.9500   -1.622036E-04  1.712944E-04  2.388920E+01 -3.646663E+00
     3.0000   -1.477621E-04  1.845218E-04  2.420414E+01 -3.798431E+00
     3.0500   -1.102355E-04  2.069382E-04  2.457096E+01 -3.898323E+00
     3.1000   -4.443385E-05  2.293547E-04  2.493777E+01 -3.998214E+00
     3.1500    4.305447E-05  2.517712E-04  2.530459E+01 -4.098106E+00
     3.2000    1.406566E-04  2.741876E-04  2.567141E+01 -4.197997E+00
     3.2500    2.406958E-04  2.994500E-04  2.606638E+01 -4.269733E+00
     3.3000    3.152366E-04  3.247124E-04  2.646136E+01 -4.341468E+00
     3.3500    3.458974E-04  3.499748E-04  2.685633E+01 -4.413203E+00
     3.4000    3.203354E-04  3.752373E-04  2.725131E+01 -4.484938E+00
     3.4500    2.316857E-04  3.998868E-04  2.765637E+01 -4.546587E+00
     3.5000    8.970474E-05  4.245364E-04  2.806143E+01 -4.608236E+00
     3.5500   -8.578313E-05  4.491859E-04  2.846649E+01 -4.669885E+00
     3.6000   -2.664576E-04  4.738355E-04  2.887155E+01 -4.731534E+00
     3.6500   -4.168445E-04  4.948303E-04  2.927605E+01 -4.793740E+00
     3.7000   -5.088556E-04  5.158251E-04  2.968056E+01 -4.855945E+00
     3.7500   -5.214423E-04  5.368200E-04  3.008506E+01 -4.918150E+00
     3.8000   -4.459385E-04  5.578148E-04  3.048957E+01 -4.980355E+00
     3.8500   -2.872951E-04  5.736435E-04  3.089137E+01 -5.045256E+00
     3.9000   -7.217261E-05  5.894722E-04  3.129318E+01 -5.110158E+00
     3.9500    1.667337E-04  6.053009E-04  3.169499E+01 -5.175060E+00
     4.0000    3.909829E-04  6.211297E-04  3.209680E+01 -5.239961E+00
     4.0500    5.552245E-04  6.303755E-04  3.249344E+01 -5.310028E+00
     4.1000    6.366369E-04  6.396213E-04  3.289008E+01 -5.380094E+00
     4.1500    6.198857E-04  6.488672E-04  3.328673E+01 -5.450161E+00
