# xx                                                               FEFF 9.9.1
# POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=28 Rmt= 1.320 Rnm= 1.527 K  shell
# Pot 1 Z=28 Rmt= 1.302 Rnm= 1.519
# Pot 2 Z=30 Rmt= 1.280 Rnm= 1.497
# Pot 3 Z=19 Rmt= 2.061 Rnm= 2.170
# Pot 4 Z=17 Rmt= 1.374 Rnm= 1.582
# Gam_ch=1.576E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# Mu=-7.123E+00eV kf=1.540E+00 Vint=-1.059E+01eV Rs_int= 2.355
# PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 S02  1.000                                        Global sig2  0.00000
 Debye-waller factor    0.0000000000000000        0.0000000000000000     
 -----------------------------------------------------------------------
       k         chi           mag          phase        phase-2kr  @#
     0.0000    9.972985E-03  2.983834E-02  2.800800E+00  2.800800E+00
     0.0500    9.390692E-03  2.964740E-02  2.819296E+00  2.395697E+00
     0.1000    8.811885E-03  2.945647E-02  2.837792E+00  1.990593E+00
     0.1500    7.112429E-03  2.891736E-02  2.893086E+00  1.622288E+00
     0.2000    5.448990E-03  2.837826E-02  2.948380E+00  1.253983E+00
     0.2500    2.797069E-03  2.757979E-02  3.040001E+00  9.220047E-01
     0.3000    2.670384E-04  2.678132E-02  3.131621E+00  5.900263E-01
     0.3500   -3.023639E-03  2.588327E-02  3.258678E+00  2.934840E-01
     0.4000   -6.039535E-03  2.498523E-02  3.385735E+00 -3.058404E-03
     0.4500   -9.471660E-03  2.402004E-02  3.546924E+00 -2.654687E-01
     0.5000   -1.237352E-02  2.305485E-02  3.708113E+00 -5.278790E-01
     0.5500   -1.527228E-02  2.215989E-02  3.901958E+00 -7.576335E-01
     0.6000   -1.734913E-02  2.126492E-02  4.095802E+00 -9.873879E-01
     0.6500   -1.894428E-02  2.049939E-02  4.320368E+00 -1.186422E+00
     0.7000   -1.945782E-02  1.973386E-02  4.544933E+00 -1.385455E+00
     0.7500   -1.906038E-02  1.912997E-02  4.797711E+00 -1.556276E+00
     0.8000   -1.747726E-02  1.852609E-02  5.050489E+00 -1.727098E+00
     0.8500   -1.476001E-02  1.808817E-02  5.328722E+00 -1.872464E+00
     0.9000   -1.104653E-02  1.765026E-02  5.606956E+00 -2.017830E+00
     0.9500   -6.361630E-03  1.736283E-02  5.908055E+00 -2.140329E+00
     1.0000   -1.262950E-03  1.707540E-02  6.209155E+00 -2.262829E+00
     1.0500    4.142382E-03  1.690789E-02  6.530702E+00 -2.364881E+00
     1.1000    9.020452E-03  1.674039E-02  6.852249E+00 -2.466933E+00
     1.1500    1.314371E-02  1.664978E-02  7.193053E+00 -2.549728E+00
     1.2000    1.571790E-02  1.655917E-02  7.533857E+00 -2.632523E+00
     1.2500    1.647482E-02  1.648768E-02  7.893479E+00 -2.696500E+00
     1.3000    1.512594E-02  1.641620E-02  8.253102E+00 -2.760477E+00
     1.3500    1.160430E-02  1.630289E-02  8.632729E+00 -2.804449E+00
     1.4000    6.489266E-03  1.618959E-02  9.012356E+00 -2.848421E+00
     1.4500    1.893127E-04  1.595505E-02  9.412912E+00 -2.871464E+00
     1.5000   -5.957714E-03  1.572051E-02  9.813469E+00 -2.894507E+00
     1.5500   -1.108085E-02  1.528790E-02  1.023554E+01 -2.896035E+00
     1.6000   -1.401495E-02  1.485530E-02  1.065761E+01 -2.897564E+00
     1.6500   -1.409626E-02  1.417351E-02  1.110002E+01 -2.878748E+00
     1.7000   -1.152407E-02  1.349172E-02  1.154244E+01 -2.859932E+00
     1.7500   -6.733300E-03  1.257564E-02  1.200136E+01 -2.824610E+00
     1.8000   -1.234627E-03  1.165957E-02  1.246028E+01 -2.789289E+00
     1.8500    3.954222E-03  1.049916E-02  1.295252E+01 -2.720651E+00
     1.9000    7.188120E-03  9.338760E-03  1.344475E+01 -2.652014E+00
     1.9500    7.488193E-03  7.708762E-03  1.389737E+01 -2.622994E+00
     2.0000    5.941614E-03  6.078765E-03  1.434999E+01 -2.593974E+00
     2.0500    4.454637E-03  5.315210E-03  1.471419E+01 -2.653380E+00
     2.1000    2.680055E-03  4.551655E-03  1.507838E+01 -2.712787E+00
     2.1500    9.935713E-04  3.788099E-03  1.544257E+01 -2.772194E+00
     2.2000   -2.983406E-04  3.024545E-03  1.580676E+01 -2.831600E+00
     2.2500   -1.075992E-03  2.701216E-03  1.611767E+01 -2.944298E+00
     2.3000   -1.569022E-03  2.377888E-03  1.642857E+01 -3.056995E+00
     2.3500   -1.762962E-03  2.054559E-03  1.673947E+01 -3.169693E+00
     2.4000   -1.686275E-03  1.731231E-03  1.705037E+01 -3.282391E+00
     2.4500   -1.600643E-03  1.605473E-03  1.735635E+01 -3.400013E+00
     2.5000   -1.372194E-03  1.479714E-03  1.766232E+01 -3.517636E+00
     2.5500   -1.044630E-03  1.353955E-03  1.796830E+01 -3.635259E+00
     2.6000   -6.682255E-04  1.228197E-03  1.827428E+01 -3.752882E+00
     2.6500   -2.893880E-04  1.178295E-03  1.860142E+01 -3.849338E+00
     2.7000    8.905673E-05  1.128393E-03  1.892856E+01 -3.945794E+00
     2.7500    4.260843E-04  1.078491E-03  1.925570E+01 -4.042250E+00
     2.8000    6.884547E-04  1.028590E-03  1.958285E+01 -4.138706E+00
     2.8500    8.865794E-04  1.005691E-03  1.992872E+01 -4.216436E+00
     2.9000    9.723700E-04  9.827925E-04  2.027459E+01 -4.294165E+00
     2.9500    9.407399E-04  9.598939E-04  2.062046E+01 -4.371895E+00
     3.0000    8.007763E-04  9.369953E-04  2.096633E+01 -4.449624E+00
     3.0500    5.757081E-04  9.252049E-04  2.131954E+01 -4.520014E+00
     3.1000    2.859454E-04  9.134146E-04  2.167274E+01 -4.590405E+00
     3.1500   -3.137466E-05  9.016243E-04  2.202595E+01 -4.660795E+00
     3.2000   -3.366692E-04  8.898340E-04  2.237916E+01 -4.731185E+00
     3.2500   -5.970824E-04  8.831688E-04  2.273356E+01 -4.800385E+00
     3.3000   -7.798755E-04  8.765036E-04  2.308796E+01 -4.869584E+00
     3.3500   -8.636264E-04  8.698384E-04  2.344236E+01 -4.938784E+00
     3.4000   -8.394852E-04  8.631732E-04  2.379676E+01 -5.007983E+00
     3.4500   -7.133571E-04  8.583139E-04  2.415163E+01 -5.076711E+00
     3.5000   -5.002102E-04  8.534545E-04  2.450650E+01 -5.145439E+00
     3.5500   -2.274646E-04  8.485952E-04  2.486137E+01 -5.214167E+00
     3.6000    7.037381E-05  8.437359E-04  2.521625E+01 -5.282896E+00
     3.6500    3.575622E-04  8.382790E-04  2.557341E+01 -5.349332E+00
     3.7000    5.961697E-04  8.328221E-04  2.593057E+01 -5.415768E+00
     3.7500    7.568673E-04  8.273652E-04  2.628773E+01 -5.482204E+00
     3.8000    8.204956E-04  8.219083E-04  2.664490E+01 -5.548640E+00
     3.8500    7.772492E-04  8.139813E-04  2.700510E+01 -5.612037E+00
     3.9000    6.359031E-04  8.060544E-04  2.736530E+01 -5.675433E+00
     3.9500    4.163733E-04  7.981274E-04  2.772551E+01 -5.738830E+00
     4.0000    1.481695E-04  7.902004E-04  2.808571E+01 -5.802226E+00
     4.0500   -1.344875E-04  7.785189E-04  2.844795E+01 -5.863581E+00
     4.1000   -3.915344E-04  7.668374E-04  2.881020E+01 -5.924936E+00
     4.1500   -5.906444E-04  7.551559E-04  2.917244E+01 -5.986291E+00
