# xx                                                               FEFF 9.9.1
# POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=28 Rmt= 1.320 Rnm= 1.527 K  shell
# Pot 1 Z=28 Rmt= 1.302 Rnm= 1.519
# Pot 2 Z=30 Rmt= 1.280 Rnm= 1.497
# Pot 3 Z=19 Rmt= 2.061 Rnm= 2.170
# Pot 4 Z=17 Rmt= 1.374 Rnm= 1.582
# Gam_ch=1.576E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# Mu=-7.123E+00eV kf=1.540E+00 Vint=-1.059E+01eV Rs_int= 2.355
# PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 S02  1.000                                        Global sig2  0.00000
 Debye-waller factor    0.0000000000000000        0.0000000000000000     
 -----------------------------------------------------------------------
       k         chi           mag          phase        phase-2kr  @#
     0.0000    2.119128E-02  2.143798E-02  1.418944E+00  1.418944E+00
     0.0500    2.119806E-02  2.139031E-02  1.436623E+00  9.902867E-01
     0.1000    2.119798E-02  2.134264E-02  1.454303E+00  5.616298E-01
     0.1500    2.116179E-02  2.120473E-02  1.507151E+00  1.681411E-01
     0.2000    2.106559E-02  2.106682E-02  1.559999E+00 -2.253477E-01
     0.2500    2.078496E-02  2.084675E-02  1.647810E+00 -5.838729E-01
     0.3000    2.034713E-02  2.062668E-02  1.735622E+00 -9.423981E-01
     0.3500    1.952887E-02  2.035851E-02  1.857264E+00 -1.267093E+00
     0.4000    1.844038E-02  2.009034E-02  1.978905E+00 -1.591788E+00
     0.4500    1.673416E-02  1.979210E-02  2.134097E+00 -1.882933E+00
     0.5000    1.467495E-02  1.949385E-02  2.289289E+00 -2.174078E+00
     0.5500    1.182464E-02  1.919238E-02  2.477797E+00 -2.431907E+00
     0.6000    8.644384E-03  1.889091E-02  2.666304E+00 -2.689736E+00
     0.6500    4.656865E-03  1.861431E-02  2.888730E+00 -2.913647E+00
     0.7000    5.580547E-04  1.833772E-02  3.111156E+00 -3.137557E+00
     0.7500   -4.088305E-03  1.811987E-02  3.369178E+00 -3.325872E+00
     0.8000   -8.355682E-03  1.790202E-02  3.627200E+00 -3.514187E+00
     0.8500   -1.254672E-02  1.779506E-02  3.924111E+00 -3.663613E+00
     0.9000   -1.559540E-02  1.768810E-02  4.221022E+00 -3.813038E+00
     0.9500   -1.757666E-02  1.777881E-02  4.561447E+00 -3.918950E+00
     1.0000   -1.754969E-02  1.786952E-02  4.901872E+00 -4.024861E+00
     1.0500   -1.531233E-02  1.828679E-02  5.290780E+00 -4.082290E+00
     1.1000   -1.061504E-02  1.870407E-02  5.679688E+00 -4.139719E+00
     1.1500   -3.095051E-03  1.965287E-02  6.125041E+00 -4.140702E+00
     1.2000    5.835978E-03  2.060168E-02  6.570395E+00 -4.141685E+00
     1.2500    1.537733E-02  2.098325E-02  7.105670E+00 -4.052747E+00
     1.3000    2.088184E-02  2.136482E-02  7.640945E+00 -3.963809E+00
     1.3500    2.033404E-02  2.118423E-02  8.138251E+00 -3.912839E+00
     1.4000    1.490846E-02  2.100363E-02  8.635558E+00 -3.861869E+00
     1.4500    6.134136E-03  2.066843E-02  9.123451E+00 -3.820312E+00
     1.5000   -3.771515E-03  2.033323E-02  9.611344E+00 -3.778756E+00
     1.5500   -1.222706E-02  1.954698E-02  1.010058E+01 -3.735859E+00
     1.6000   -1.723740E-02  1.876074E-02  1.058981E+01 -3.692961E+00
     1.6500   -1.763601E-02  1.768873E-02  1.107280E+01 -3.656313E+00
     1.7000   -1.407676E-02  1.661672E-02  1.155578E+01 -3.619664E+00
     1.7500   -7.934954E-03  1.538749E-02  1.202457E+01 -3.597209E+00
     1.8000   -1.032695E-03  1.415826E-02  1.249337E+01 -3.574754E+00
     1.8500    5.150808E-03  1.294259E-02  1.297568E+01 -3.538779E+00
     1.9000    9.124592E-03  1.172693E-02  1.345799E+01 -3.502805E+00
     1.9500    9.520450E-03  9.766884E-03  1.391205E+01 -3.495078E+00
     2.0000    7.603128E-03  7.806842E-03  1.436611E+01 -3.487352E+00
     2.0500    5.870288E-03  6.942557E-03  1.470037E+01 -3.599437E+00
     2.1000    3.790438E-03  6.078271E-03  1.503462E+01 -3.711522E+00
     2.1500    1.734342E-03  5.213986E-03  1.536887E+01 -3.823607E+00
     2.2000    2.106237E-05  4.349701E-03  1.570312E+01 -3.935692E+00
     2.2500   -1.316511E-03  3.946841E-03  1.604804E+01 -4.037108E+00
     2.3000   -2.242178E-03  3.543982E-03  1.639296E+01 -4.138525E+00
     2.3500   -2.692750E-03  3.141123E-03  1.673788E+01 -4.239941E+00
     2.4000   -2.685858E-03  2.738264E-03  1.708280E+01 -4.341357E+00
     2.4500   -2.439438E-03  2.518396E-03  1.752983E+01 -4.340668E+00
     2.5000   -1.760830E-03  2.298528E-03  1.797685E+01 -4.339979E+00
     2.5500   -8.583555E-04  2.078661E-03  1.842388E+01 -4.339290E+00
     2.6000    3.968151E-05  1.858794E-03  1.887091E+01 -4.338601E+00
     2.6500    9.755596E-04  1.888882E-03  1.939228E+01 -4.263558E+00
     2.7000    1.677864E-03  1.918971E-03  1.991366E+01 -4.188516E+00
     2.7500    1.948849E-03  1.949059E-03  2.043504E+01 -4.113473E+00
     2.8000    1.701519E-03  1.979148E-03  2.095642E+01 -4.038431E+00
     2.8500    1.183397E-03  2.158233E-03  2.141080E+01 -4.030392E+00
     2.9000    2.936661E-04  2.337318E-03  2.186517E+01 -4.022353E+00
     2.9500   -8.116136E-04  2.516403E-03  2.231955E+01 -4.014314E+00
     3.0000   -1.900993E-03  2.695488E-03  2.277392E+01 -4.006275E+00
     3.0500   -2.642224E-03  2.849341E-03  2.317831E+01 -4.048225E+00
     3.1000   -3.002547E-03  3.003194E-03  2.358270E+01 -4.090176E+00
     3.1500   -2.876011E-03  3.157047E-03  2.398708E+01 -4.132126E+00
     3.2000   -2.235606E-03  3.310901E-03  2.439147E+01 -4.174076E+00
     3.2500   -1.170262E-03  3.382162E-03  2.477943E+01 -4.232457E+00
     3.3000    1.196055E-04  3.453424E-03  2.516738E+01 -4.290838E+00
     3.3500    1.445579E-03  3.524686E-03  2.555534E+01 -4.349219E+00
     3.4000    2.605868E-03  3.595947E-03  2.594329E+01 -4.407599E+00
     3.4500    3.357154E-03  3.611740E-03  2.632583E+01 -4.471402E+00
     3.5000    3.627491E-03  3.627533E-03  2.670836E+01 -4.535205E+00
     3.5500    3.373393E-03  3.643325E-03  2.709090E+01 -4.599008E+00
     3.6000    2.627195E-03  3.659118E-03  2.747343E+01 -4.662810E+00
     3.6500    1.473026E-03  3.658605E-03  2.785996E+01 -4.722619E+00
     3.7000    1.018623E-04  3.658091E-03  2.824648E+01 -4.782429E+00
     3.7500   -1.283945E-03  3.657578E-03  2.863301E+01 -4.842238E+00
     3.8000   -2.479940E-03  3.657065E-03  2.901954E+01 -4.902047E+00
     3.8500   -3.331107E-03  3.663903E-03  2.941562E+01 -4.952305E+00
     3.9000   -3.668689E-03  3.670741E-03  2.981170E+01 -5.002564E+00
     3.9500   -3.438397E-03  3.677579E-03  3.020777E+01 -5.052822E+00
     4.0000   -2.673838E-03  3.684417E-03  3.060385E+01 -5.103080E+00
     4.0500   -1.464008E-03  3.702966E-03  3.100947E+01 -5.143804E+00
     4.1000   -3.154411E-06  3.721515E-03  3.141508E+01 -5.184527E+00
     4.1500    1.472849E-03  3.740065E-03  3.182069E+01 -5.225251E+00
