# xx                                                               FEFF 9.9.1
# POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=28 Rmt= 1.320 Rnm= 1.527 K  shell
# Pot 1 Z=28 Rmt= 1.302 Rnm= 1.519
# Pot 2 Z=30 Rmt= 1.280 Rnm= 1.497
# Pot 3 Z=19 Rmt= 2.061 Rnm= 2.170
# Pot 4 Z=17 Rmt= 1.374 Rnm= 1.582
# Gam_ch=1.576E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# Mu=-7.123E+00eV kf=1.540E+00 Vint=-1.059E+01eV Rs_int= 2.355
# PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 S02  1.000                                        Global sig2  0.00000
 Debye-waller factor    0.0000000000000000        0.0000000000000000     
 -----------------------------------------------------------------------
       k         chi           mag          phase        phase-2kr  @#
     0.0000   -6.003584E-03  1.398737E-02 -2.697970E+00 -2.697970E+00
     0.0500   -5.974396E-03  1.365098E-02 -2.688606E+00 -3.136480E+00
     0.1000   -5.939019E-03  1.331460E-02 -2.679242E+00 -3.574990E+00
     0.1500   -5.761126E-03  1.235816E-02 -2.656625E+00 -4.000246E+00
     0.2000   -5.542013E-03  1.140172E-02 -2.634007E+00 -4.425503E+00
     0.2500   -4.963883E-03  9.998338E-03 -2.622064E+00 -4.861433E+00
     0.3000   -4.355947E-03  8.594959E-03 -2.610121E+00 -5.297364E+00
     0.3500   -3.122750E-03  7.170885E-03 -2.691025E+00 -5.826142E+00
     0.4000   -2.076329E-03  5.746810E-03 -2.771930E+00 -6.354920E+00
     0.4500   -5.838021E-04  5.450544E-03 -3.034278E+00 -7.065142E+00
     0.5000    7.958870E-04  5.154278E-03 -3.296626E+00 -7.775364E+00
     0.5500    1.655717E-03  6.493957E-03 -3.399402E+00 -8.326014E+00
     0.6000    2.763876E-03  7.833636E-03 -3.502178E+00 -8.876663E+00
     0.6500    2.461028E-03  9.654805E-03 -3.399339E+00 -9.221698E+00
     0.7000    1.770613E-03  1.147597E-02 -3.296500E+00 -9.566734E+00
     0.7500   -4.883990E-04  1.317099E-02 -3.104503E+00 -9.822610E+00
     0.8000   -3.375904E-03  1.486601E-02 -2.912505E+00 -1.007849E+01
     0.8500   -7.299328E-03  1.621017E-02 -2.674499E+00 -1.028835E+01
     0.9000   -1.137714E-02  1.755433E-02 -2.436493E+00 -1.049822E+01
     0.9500   -1.523526E-02  1.845197E-02 -2.170202E+00 -1.067980E+01
     1.0000   -1.828593E-02  1.934961E-02 -1.903911E+00 -1.086139E+01
     1.0500   -1.975453E-02  1.977780E-02 -1.619316E+00 -1.102467E+01
     1.1000   -1.964555E-02  2.020599E-02 -1.334722E+00 -1.118795E+01
     1.1500   -1.741654E-02  2.021301E-02 -1.038512E+00 -1.133961E+01
     1.2000   -1.366848E-02  2.022003E-02 -7.423034E-01 -1.149127E+01
     1.2500   -8.460524E-03  1.989960E-02 -4.391392E-01 -1.163598E+01
     1.3000   -2.654081E-03  1.957918E-02 -1.359750E-01 -1.178069E+01
     1.3500    3.255694E-03  1.907073E-02  1.715571E-01 -1.192104E+01
     1.4000    8.556676E-03  1.856228E-02  4.790891E-01 -1.206138E+01
     1.4500    1.279886E-02  1.799106E-02  7.914898E-01 -1.219685E+01
     1.5000    1.555532E-02  1.741984E-02  1.103891E+00 -1.233232E+01
     1.5500    1.669986E-02  1.687799E-02  1.425381E+00 -1.245871E+01
     1.6000    1.608356E-02  1.633614E-02  1.746872E+00 -1.258509E+01
     1.6500    1.379957E-02  1.584458E-02  2.084494E+00 -1.269534E+01
     1.7000    1.011749E-02  1.535301E-02  2.422116E+00 -1.280559E+01
     1.7500    5.221341E-03  1.486552E-02  2.782699E+00 -1.289288E+01
     1.8000   -2.429430E-05  1.437804E-02  3.143282E+00 -1.298018E+01
     1.8500   -5.593309E-03  1.367241E-02  3.563054E+00 -1.300828E+01
     1.9000   -9.666295E-03  1.296678E-02  3.982826E+00 -1.303638E+01
     1.9500   -1.035818E-02  1.097867E-02  4.374578E+00 -1.309250E+01
     2.0000   -8.977485E-03  8.990561E-03  4.766330E+00 -1.314862E+01
     2.0500   -7.725003E-03  8.246138E-03  5.069809E+00 -1.329302E+01
     2.1000   -5.922156E-03  7.501716E-03  5.373289E+00 -1.343741E+01
     2.1500   -3.851164E-03  6.757293E-03  5.676768E+00 -1.358181E+01
     2.2000   -1.793792E-03  6.012871E-03  5.980248E+00 -1.372620E+01
     2.2500   -1.752031E-05  5.574294E-03  6.280042E+00 -1.387428E+01
     2.3000    1.501271E-03  5.135716E-03  6.579837E+00 -1.402236E+01
     2.3500    2.638411E-03  4.697139E-03  6.879632E+00 -1.417044E+01
     2.4000    3.325872E-03  4.258562E-03  7.179426E+00 -1.431852E+01
     2.4500    3.680730E-03  3.933385E-03  7.493612E+00 -1.445221E+01
     2.5000    3.604361E-03  3.608208E-03  7.807797E+00 -1.458589E+01
     2.5500    3.165834E-03  3.283031E-03  8.121983E+00 -1.471958E+01
     2.6000    2.470584E-03  2.957855E-03  8.436169E+00 -1.485327E+01
     2.6500    1.676496E-03  2.734989E-03  8.764950E+00 -1.497236E+01
     2.7000    8.165233E-04  2.512123E-03  9.093731E+00 -1.509145E+01
     2.7500    5.186047E-06  2.289258E-03  9.422513E+00 -1.521055E+01
     2.8000   -6.627852E-04  2.066393E-03  9.751294E+00 -1.532964E+01
     2.8500   -1.207504E-03  1.920037E-03  1.010491E+01 -1.542390E+01
     2.9000   -1.523988E-03  1.773682E-03  1.045853E+01 -1.551815E+01
     2.9500   -1.600026E-03  1.627327E-03  1.081214E+01 -1.561241E+01
     3.0000   -1.459577E-03  1.480972E-03  1.116576E+01 -1.570667E+01
     3.0500   -1.178200E-03  1.390158E-03  1.155506E+01 -1.576525E+01
     3.1000   -7.570947E-04  1.299344E-03  1.194436E+01 -1.582382E+01
     3.1500   -2.787146E-04  1.208531E-03  1.233365E+01 -1.588240E+01
     3.2000    1.742982E-04  1.117717E-03  1.272295E+01 -1.594097E+01
     3.2500    5.891889E-04  1.077688E-03  1.314481E+01 -1.596699E+01
     3.3000    8.733248E-04  1.037660E-03  1.356666E+01 -1.599301E+01
     3.3500    9.866299E-04  9.976315E-04  1.398852E+01 -1.601903E+01
     3.4000    9.220856E-04  9.576030E-04  1.441038E+01 -1.604504E+01
     3.4500    7.255963E-04  9.514396E-04  1.484059E+01 -1.606270E+01
     3.5000    4.001921E-04  9.452762E-04  1.527081E+01 -1.608035E+01
     3.5500    6.510286E-06  9.391128E-04  1.570103E+01 -1.609801E+01
     3.6000   -3.832170E-04  9.329494E-04  1.613125E+01 -1.611567E+01
     3.6500   -7.019163E-04  9.422700E-04  1.654838E+01 -1.614641E+01
     3.7000   -9.052832E-04  9.515906E-04  1.696551E+01 -1.617715E+01
     3.7500   -9.557314E-04  9.609112E-04  1.738264E+01 -1.620790E+01
     3.8000   -8.414991E-04  9.702318E-04  1.779977E+01 -1.623864E+01
     3.8500   -5.897157E-04  9.788411E-04  1.820297E+01 -1.628331E+01
     3.9000   -2.379595E-04  9.874504E-04  1.860618E+01 -1.632798E+01
     3.9500    1.585182E-04  9.960597E-04  1.900938E+01 -1.637265E+01
     4.0000    5.362422E-04  1.004669E-03  1.941258E+01 -1.641732E+01
     4.0500    8.228588E-04  1.007255E-03  1.980563E+01 -1.647215E+01
     4.1000    9.851292E-04  1.009841E-03  2.019867E+01 -1.652698E+01
