# # xx                                                           FEFF 9.9.1  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=28 Rmt= 1.320 Rnm= 1.527 K  shell
# # Pot 1 Z=28 Rmt= 1.302 Rnm= 1.519
# # Pot 2 Z=30 Rmt= 1.280 Rnm= 1.497
# # Pot 3 Z=19 Rmt= 2.061 Rnm= 2.170
# # Pot 4 Z=17 Rmt= 1.374 Rnm= 1.582
# # Gam_ch=1.576E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-7.123E+00eV kf=1.540E+00 Vint=-1.059E+01eV Rs_int= 2.355
# # PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      1.00     2   2.2463
#           2       0.00000     91.60      1.00     2   2.3355
#           3       0.00000     86.95      1.00     2   2.3891
#           4       0.00000     84.35      1.00     2   2.4208
#           5       0.00000     29.01      1.00     2   3.7168
#           6       0.00000     26.68      1.00     2   3.8394
#           7       0.00000     12.65      2.00     3   4.0191
#           8       0.00000     12.79      2.00     3   4.0234
#           9       0.00000     23.41      1.00     2   4.0357
#          10       0.00000     22.73      1.00     2   4.0594
#          11       0.00000     15.65      1.00     2   4.1582
#          12       0.00000     13.28      2.00     3   4.2204
#          13       0.00000      9.77      2.00     3   4.2360
#          14       0.00000     17.79      1.00     2   4.4385
#          15       0.00000     10.96      2.00     3   4.4404
#          16       0.00000     17.83      1.00     2   4.4634
#          17       0.00000     19.38      2.00     3   4.4658
#          18       0.00000     11.46      2.00     3   4.4787
#          19       0.00000     13.41      1.00     4   4.4926
#          20       0.00000     12.43      2.00     3   4.5004
#          21       0.00000      9.41      2.00     3   4.5398
#          22       0.00000      6.75      2.00     4   4.5818
#          23       0.00000     12.58      2.00     3   4.6188
#          24       0.00000      4.14      2.00     4   4.6354
#          25       0.00000     14.04      2.00     4   4.6671
#          26       0.00000     10.83      1.00     4   4.6710
#          27       0.00000      9.18      2.00     3   4.7524
#          29       0.00000      9.56      1.00     4   4.7783
#          31       0.00000      5.58      2.00     4   4.8099
#          32       0.00000      8.90      1.00     4   4.8416
#          33       0.00000     10.38      2.00     3   4.9811
#    31/  33 paths used
#  xsedge+50, used to normalize mu           2.6113E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    8357.407     13.917   2.350  1.04854E+00  1.02002E+00  2.79125E-02
    8358.312     14.822   2.400  1.05945E+00  1.01357E+00  4.52101E-02
    8359.236     15.746   2.450  1.06494E+00  1.00853E+00  5.58741E-02
    8360.179     16.689   2.500  1.06719E+00  1.00349E+00  6.34244E-02
    8361.141     17.651   2.550  1.06580E+00  9.98444E-01  6.74021E-02
    8362.122     18.632   2.600  1.06061E+00  9.93401E-01  6.76102E-02
    8363.122     19.632   2.650  1.05328E+00  9.90070E-01  6.37839E-02
    8364.141     20.651   2.700  1.04244E+00  9.86739E-01  5.63832E-02
    8365.179     21.690   2.750  1.02895E+00  9.83408E-01  4.62459E-02
    8366.237     22.747   2.800  1.01382E+00  9.80077E-01  3.43764E-02
    8367.313     23.823   2.850  9.99529E-01  9.78507E-01  2.14431E-02
    8368.408     24.919   2.900  9.84029E-01  9.76938E-01  7.24263E-03
    8369.523     26.033   2.950  9.68306E-01  9.75368E-01 -7.22147E-03
    8370.656     27.166   3.000  9.53201E-01  9.73799E-01 -2.10890E-02
    8371.809     28.319   3.050  9.39972E-01  9.73856E-01 -3.46743E-02
    8372.980     29.491   3.100  9.27574E-01  9.73913E-01 -4.73955E-02
    8374.171     30.681   3.150  9.16403E-01  9.73970E-01 -5.88485E-02
    8375.381     31.891   3.200  9.06773E-01  9.74028E-01 -6.87158E-02
    8376.609     33.120   3.250  9.00257E-01  9.75486E-01 -7.67112E-02
    8377.857     34.367   3.300  8.95883E-01  9.76945E-01 -8.24949E-02
    8379.124     35.634   3.350  8.93858E-01  9.78403E-01 -8.58697E-02
    8380.410     36.920   3.400  8.94312E-01  9.79861E-01 -8.67192E-02
    8381.715     38.225   3.450  8.98754E-01  9.82391E-01 -8.45254E-02
    8383.039     39.549   3.500  9.05841E-01  9.84921E-01 -7.96805E-02
    8384.382     40.892   3.550  9.15485E-01  9.87451E-01 -7.22957E-02
    8385.744     42.254   3.600  9.27553E-01  9.89981E-01 -6.25267E-02
    8387.125     43.635   3.650  9.42752E-01  9.93189E-01 -5.03363E-02
    8388.525     45.035   3.700  9.59903E-01  9.96397E-01 -3.62915E-02
    8389.944     46.455   3.750  9.78700E-01  9.99605E-01 -2.07154E-02
    8391.382     47.893   3.800  9.98764E-01  1.00281E+00 -3.99765E-03
    8392.840     49.350   3.850  1.01987E+00  1.00625E+00  1.33973E-02
    8394.316     50.826   3.900  1.04112E+00  1.00969E+00  3.08120E-02
    8395.812     52.322   3.950  1.06182E+00  1.01313E+00  4.75650E-02
    8397.326     53.836   4.000  1.08119E+00  1.01656E+00  6.29042E-02
    8398.860     55.370   4.050  1.09799E+00  1.01977E+00  7.58907E-02
    8400.412     56.922   4.100  1.11170E+00  1.02297E+00  8.58142E-02
    8401.984     58.494   4.150  1.12162E+00  1.02617E+00  9.20177E-02
    8403.574     60.085   4.200  1.12722E+00  1.02938E+00  9.40356E-02
    8405.184     61.694   4.250  1.12741E+00  1.03194E+00  9.15250E-02
    8406.813     63.323   4.300  1.12306E+00  1.03451E+00  8.47022E-02
    8408.461     64.971   4.350  1.11463E+00  1.03708E+00  7.40025E-02
    8410.128     66.638   4.400  1.10284E+00  1.03964E+00  6.01582E-02
    8411.813     68.324   4.450  1.08769E+00  1.04127E+00  4.41282E-02
    8413.518     70.029   4.500  1.07140E+00  1.04290E+00  2.70558E-02
    8415.242     71.753   4.550  1.05517E+00  1.04453E+00  1.00891E-02
    8416.986     73.496   4.600  1.04014E+00  1.04616E+00 -5.70211E-03
    8418.748     75.258   4.650  1.02615E+00  1.04672E+00 -1.94799E-02
    8420.529     77.039   4.700  1.01493E+00  1.04728E+00 -3.06292E-02
    8422.329     78.839   4.750  1.00681E+00  1.04785E+00 -3.88400E-02
    8424.148     80.659   4.800  1.00181E+00  1.04841E+00 -4.40997E-02
    8425.987     82.497   4.850  9.98495E-01  1.04793E+00 -4.68214E-02
    8427.844     84.354   4.900  9.97486E-01  1.04745E+00 -4.73645E-02
    8429.720     86.231   4.950  9.98171E-01  1.04697E+00 -4.63002E-02
    8431.616     88.126   5.000  9.99933E-01  1.04650E+00 -4.42127E-02
    8433.530     90.041   5.050  1.00130E+00  1.04519E+00 -4.17415E-02
    8435.464     91.974   5.100  1.00281E+00  1.04388E+00 -3.91220E-02
    8437.417     93.927   5.150  1.00427E+00  1.04257E+00 -3.65465E-02
    8439.388     95.899   5.200  1.00567E+00  1.04126E+00 -3.40180E-02
    8441.379     97.889   5.250  1.00661E+00  1.03941E+00 -3.14116E-02
    8443.389     99.899   5.300  1.00801E+00  1.03755E+00 -2.83608E-02
    8445.418    101.928   5.350  1.01019E+00  1.03569E+00 -2.45311E-02
    8447.465    103.976   5.400  1.01348E+00  1.03384E+00 -1.96309E-02
    8449.532    106.043   5.450  1.01780E+00  1.03178E+00 -1.35084E-02
    8451.618    108.129   5.500  1.02346E+00  1.02972E+00 -6.06572E-03
    8453.723    110.234   5.550  1.03023E+00  1.02767E+00  2.49092E-03
    8455.847    112.358   5.600  1.03768E+00  1.02561E+00  1.17437E-02
    8457.990    114.501   5.650  1.04534E+00  1.02365E+00  2.11454E-02
    8460.153    116.663   5.700  1.05237E+00  1.02168E+00  2.99779E-02
    8462.334    118.844   5.750  1.05805E+00  1.01972E+00  3.75245E-02
    8464.534    121.044   5.800  1.06173E+00  1.01775E+00  4.31403E-02
    8466.753    123.264   5.850  1.06338E+00  1.01616E+00  4.64117E-02
    8468.992    125.502   5.900  1.06229E+00  1.01456E+00  4.69842E-02
    8471.249    127.760   5.950  1.05842E+00  1.01296E+00  4.48273E-02
    8473.526    130.036   6.000  1.05203E+00  1.01136E+00  4.01673E-02
    8475.821    132.332   6.050  1.04450E+00  1.01061E+00  3.34949E-02
    8478.136    134.646   6.100  1.03547E+00  1.00986E+00  2.53296E-02
    8480.469    136.980   6.150  1.02568E+00  1.00911E+00  1.63959E-02
    8482.822    139.332   6.200  1.01586E+00  1.00836E+00  7.42580E-03
    8485.194    141.704   6.250  1.00667E+00  1.00761E+00 -9.35896E-04
    8487.585    144.095   6.300  9.98588E-01  1.00686E+00 -8.20392E-03
    8489.994    146.505   6.350  9.91916E-01  1.00611E+00 -1.40877E-02
    8492.423    148.934   6.400  9.86745E-01  1.00536E+00 -1.84880E-02
    8494.871    151.381   6.450  9.83014E-01  1.00461E+00 -2.14641E-02
    8497.338    153.848   6.500  9.80548E-01  1.00386E+00 -2.31863E-02
    8499.824    156.334   6.550  9.79984E-01  1.00404E+00 -2.39201E-02
