# 2Theta    Intensity
1.1984e+00  1.3609e+01
1.2044e+00  1.4033e+01
1.2104e+00  1.3925e+01
1.2164e+00  1.3891e+01
1.2225e+00  1.3654e+01
1.2285e+00  1.3957e+01
1.2345e+00  1.3838e+01
1.2405e+00  1.3641e+01
1.2465e+00  1.3915e+01
1.2525e+00  1.4033e+01
1.2585e+00  1.3687e+01
1.2645e+00  1.3928e+01
1.2705e+00  1.4001e+01
1.2765e+00  1.4010e+01
1.2825e+00  1.3897e+01
1.2885e+00  1.4040e+01
1.2945e+00  1.3989e+01
1.3005e+00  1.3680e+01
1.3066e+00  1.4062e+01
1.3126e+00  1.3924e+01
1.3186e+00  1.4159e+01
1.3246e+00  1.4008e+01
1.3306e+00  1.4016e+01
1.3366e+00  1.4034e+01
1.3426e+00  1.3948e+01
1.3486e+00  1.4134e+01
1.3546e+00  1.4110e+01
1.3606e+00  1.4036e+01
1.3666e+00  1.3966e+01
1.3726e+00  1.4058e+01
1.3786e+00  1.4109e+01
1.3846e+00  1.4005e+01
1.3906e+00  1.4129e+01
1.3967e+00  1.4211e+01
1.4027e+00  1.3983e+01
1.4087e+00  1.4054e+01
1.4147e+00  1.4050e+01
1.4207e+00  1.4216e+01
1.4267e+00  1.3992e+01
1.4327e+00  1.4083e+01
1.4387e+00  1.4204e+01
1.4447e+00  1.4051e+01
1.4507e+00  1.4159e+01
1.4567e+00  1.4179e+01
1.4627e+00  1.4165e+01
1.4687e+00  1.3982e+01
1.4747e+00  1.4208e+01
1.4807e+00  1.4163e+01
1.4868e+00  1.4077e+01
1.4928e+00  1.4113e+01
1.4988e+00  1.4134e+01
1.5048e+00  1.4062e+01
1.5108e+00  1.4124e+01
1.5168e+00  1.4233e+01
1.5228e+00  1.4161e+01
1.5288e+00  1.4081e+01
1.5348e+00  1.4211e+01
1.5408e+00  1.4185e+01
1.5468e+00  1.4110e+01
1.5528e+00  1.4220e+01
1.5588e+00  1.4239e+01
1.5648e+00  1.4198e+01
1.5708e+00  1.4094e+01
1.5769e+00  1.4268e+01
1.5829e+00  1.4209e+01
1.5889e+00  1.4234e+01
1.5949e+00  1.4240e+01
1.6009e+00  1.4223e+01
1.6069e+00  1.4248e+01
