radial;intensity
2.711335;31.77343
2.720095;31.74026
2.728856;31.84106
2.737616;32.60559
2.746376;32.62252
2.755137;31.60069
2.763897;31.24511
2.772658;31.17846
2.781418;31.23207
2.790178;31.12009
2.798939;31.08833
2.807699;31.19148
2.816459;31.34359
2.82522;31.49167
2.83398;31.7154
2.842741;32.0741
2.851501;32.36668
2.860261;34.07061
2.869022;36.76
2.877782;34.17075
2.886542;31.7874
2.895303;31.34872
2.904063;31.16695
2.912823;31.00426
2.921584;31.00833
2.930344;31.4432
2.939105;31.60514
2.947865;31.31211
2.956625;31.47902
2.965386;33.09898
2.974146;33.32814
2.982906;31.84983
2.991667;31.81796
3.000427;33.29552
3.009188;53.7976
3.017948;234.1002
3.026708;268.7954
3.035469;59.01954
3.044229;33.0695
3.052989;31.72398
3.06175;31.24237
3.07051;31.07806
3.079271;31.26401
3.088031;31.19624
3.096791;30.98871
3.105552;31.14785
3.114312;32.03273
3.123072;31.8146
3.131833;30.98876
3.140593;30.71766
3.149354;30.47333
3.158114;30.41358
3.166874;30.39542
3.175635;30.49875
3.184395;30.52269
3.193155;30.64567
3.201916;30.99055
3.210676;31.47716
3.219436;31.42187
3.228197;31.18596
3.236957;31.01128
3.245718;31.1086
3.254478;31.31089
3.263238;31.51607
3.271999;31.43376
3.280759;31.30512
3.289519;31.32647
3.29828;31.87057
3.30704;34.0452
3.315801;35.15982
3.324561;32.86027
3.333321;31.78791
3.342082;32.06415
3.350842;33.32076
3.359602;39.1283
3.368363;147.1166
3.377123;614.9102
3.385884;421.1776
3.394644;61.86291
3.403404;35.13928
3.412165;32.40784
3.420925;31.31971
3.429685;30.81788
3.438446;30.33514
3.447206;30.05363
3.455967;29.83348
3.464727;29.63826
3.473487;29.51385
3.482248;29.40925
3.491008;29.33762
3.499768;29.35032
3.508529;29.43508
3.517289;29.50815
3.526049;29.55353
3.53481;29.76737
3.54357;30.0934
3.552331;30.57415
3.561091;30.60919
3.569851;30.26084
3.578612;29.95181
3.587372;29.54687
3.596132;29.40778
3.604893;29.67827
3.613653;29.94188
3.622414;29.52603
3.631174;29.36474
3.639934;29.48716
3.648695;29.54391
3.657455;29.93003
3.666215;30.24887
3.674976;31.02466
3.683736;37.1715
3.692497;129.5278
3.701257;357.5708
3.710017;191.6847
3.718778;41.20894
3.727538;31.73118
3.736298;30.32879
3.745059;29.70658
3.753819;29.3429
3.76258;29.02284
3.77134;28.85515
3.7801;28.68182
3.788861;28.53704
3.797621;28.38935
3.806381;28.38671
3.815142;28.2943
3.823902;28.30002
3.832662;28.22357
3.841423;28.13993
3.850183;28.11096
3.858944;28.14479
3.867704;28.15463
3.876464;28.0893
3.885225;28.24419
3.893985;28.3105
3.902745;28.52905
3.911506;28.94101
3.920266;29.92025
3.929027;29.63972
3.937787;28.99367
3.946547;28.87817
3.955308;28.46472
3.964068;28.28614
3.972828;28.58854
3.981589;29.26632
3.990349;29.06803
3.99911;28.57592
4.00787;28.28042
4.01663;28.03861
4.025391;28.37474
4.034151;28.72221
4.042911;29.53501
4.051672;32.03407
4.060432;33.25711
4.069193;31.77907
4.077953;30.5654
4.086713;29.27938
4.095474;28.6057
4.104234;28.17263
4.112994;27.8146
4.121755;27.867
4.130515;27.98822
4.139275;28.06075
4.148036;28.14791
4.156796;28.16066
4.165557;28.04733
4.174317;27.99318
4.183077;28.12223
4.191838;28.05158
4.200598;27.94508
4.209358;27.79132
4.218119;27.81343
4.226879;27.81032
4.23564;27.91516
4.2444;28.15672
4.25316;29.13418
4.261921;44.60408
4.270681;124.9773
4.279441;128.83
4.288202;44.65654
4.296962;29.14891
4.305723;28.27901
4.314483;28.0266
4.323243;27.9033
4.332004;27.85153
4.340764;27.88638
4.349524;28.03786
4.358285;28.21442
4.367045;28.21319
4.375806;28.08568
4.384566;27.74099
4.393326;27.55989
4.402087;27.42528
4.410847;27.40519
4.419607;27.49678
4.428368;27.63075
4.437128;27.70175
4.445888;27.79708
4.454649;27.91314
4.463409;28.18534
4.47217;28.72993
4.48093;28.49527
4.48969;28.38285
4.498451;29.27462
4.507211;31.35627
4.515971;39.49164
4.524732;146.7383
4.533492;358.0517
4.542253;217.0105
4.551013;43.92146
4.559773;30.58611
4.568534;29.68255
4.577294;29.05441
4.586054;28.03681
4.594815;27.65125
4.603575;27.44741
4.612336;27.28894
4.621096;27.21965
4.629856;27.2329
4.638617;27.24293
4.647377;27.12167
4.656137;27.3407
4.664898;27.55338
4.673658;28.06471
4.682419;29.05744
4.691179;29.10233
4.699939;28.10345
4.7087;27.42643
4.71746;27.33608
4.72622;27.46492
4.734981;27.68755
4.743741;28.13274
4.752501;28.9281
4.761262;34.39574
4.770022;112.1234
4.778783;258.139
4.787543;167.7248
4.796303;39.47912
4.805064;29.00056
4.813824;27.96709
4.822584;27.56256
4.831345;27.30809
4.840105;27.10435
4.848866;26.87724
4.857626;26.70792
4.866386;26.70802
4.875147;26.7167
4.883907;26.82371
4.892667;26.91453
4.901428;26.82835
4.910188;26.70353
4.918949;26.75435
4.927709;26.7359
4.936469;26.84286
4.94523;26.78089
4.95399;27.03302
4.96275;27.59863
