natx =     2556
    x       y        z       iph  
      0.00000      0.00000      0.00000   0      0.00000
      1.58000      1.27998     -0.80001   4      2.18513
     -1.18998      0.78998      1.83001   4      2.32144
      1.27000     -1.94000      0.60000   4      2.39510
     -2.09000     -1.06000     -0.64999   4      2.43191
     -1.68999      2.19999     -1.89999   4      3.36244
      1.06000     -3.10791     -1.43999   2      3.58557
     -3.70999      0.24998     -0.71001   2      3.78558
      1.03000      1.46999     -3.90000   3      4.29322
      4.26001     -0.23001     -0.95001   3      4.37071
     -1.00998     -4.00790     -1.51000   4      4.40039
      1.76000     -2.33790     -3.64999   4      4.67823
     -2.69000      1.54000     -3.89001   2      4.97392
     -3.48000      1.40999      3.34001   3      5.02535
      2.82000      2.57998      3.31001   4      5.05617
     -3.39000     -3.37791      2.15000   3      5.24641
     -4.64000      0.45000     -2.83001   4      5.45354
     -5.43001      0.94999      0.45000   4      5.53082
     -1.55000      0.34999     -5.33000   4      5.56182
      2.80001     -4.68791     -1.31001   4      5.61540
      4.23001      2.67999     -2.61000   4      5.64690
      4.23001      3.30998      1.91000   2      5.70062
      2.57000      4.91999     -1.74001   3      5.81711
     -5.24000     -2.65791      0.07001   4      5.87597
      0.70000      4.95999      3.24000   3      5.96566
      1.46000      6.07999      0.85000   4      6.31034
      5.84000      2.31999      0.83999   4      6.33983
     -1.79999      2.98999      5.53001   4      6.53919
     -1.12000     -5.99792     -2.42000   2      6.56398
     -6.24000     -1.38001      1.62001   2      6.59291
     -5.52001     -1.19001      3.72000   4      6.76202
     -3.22999      3.46999     -4.82999   4      6.76775
     -1.55000      6.22999     -3.28999   4      7.21383
     -4.43001     -5.81790      0.49000   4      7.32892
      5.31001     -3.95791     -3.34001   3      7.41734
     -5.79000      4.58999      0.97000   4      7.45205
     -1.06998     -7.36790     -0.55000   4      7.46548
      7.08002     -2.25001     -1.43000   4      7.56532
     -5.04999     -5.44792     -1.58999   2      7.59673
     -0.31000     -6.24790     -4.37001   4      7.63082
     -5.76999      3.51998     -3.61000   4      7.66258
      5.61001      4.57000     -2.82000   2      7.76592
      1.89999     -7.51790     -0.60000   3      7.77746
      5.18000      5.24998      2.72000   4      7.86086
     -4.37999      5.40999     -3.86999   2      7.96424
      1.97000      6.06999     -4.82000   4      7.99738
     -6.42000     -4.18790     -2.84000   4      8.17438
     -3.76000     -6.61791     -3.09000   4      8.21477
     -4.78000      6.45000     -1.89001   4      8.24760
     -6.67999      2.96998      4.16999   4      8.41617
     -8.18999     -1.43000     -1.58999   3      8.46456
     -2.57000      7.70999      2.39000   4      8.47118
      7.96000      2.91999      0.03000   2      8.47872
      4.53001     -5.86791      4.12000   4      8.48103
      5.00000      6.52999     -2.19999   4      8.51356
     -3.19999      4.25999      6.68001   2      8.54459
     -8.40789     -0.79000      1.39000   4      8.55855
      2.63000      8.04999      1.71999   2      8.64162
      8.42000     -0.40000     -2.40001   2      8.76450
     -6.42000      6.03999     -0.42000   2      8.82464
      1.17001     -8.02790      3.68001   4      8.90834
     -5.16999     -0.63002     -7.22999   4      8.91059
     -1.03000      6.99000      5.46999   4      8.93542
     -8.31999      3.15998      1.49000   3      9.02374
     -5.42000     -5.78790      4.31999   4      9.02987
     -2.94999      7.25999      4.50001   2      9.03659
      6.35001      4.18000     -4.95001   4      9.07181
      7.92001      0.21998     -4.43001   4      9.07744
      2.51000      7.72998      4.10001   4      9.10290
     -7.73001      0.13999     -4.87000   4      9.13725
      7.93000      4.36000     -1.67999   4      9.20417
     -4.36998      5.92999      5.60000   4      9.25319
      9.17002      1.33000     -0.94000   4      9.31352
     -1.67999      7.99000     -4.52999   2      9.33719
     -8.13999      3.30998     -3.19001   2      9.34835
      2.98001     -7.29792      5.10999   2      9.39426
     -3.30000      8.78000     -0.54000   3      9.39521
     -5.00000      2.86999      7.42000   4      9.39645
      1.28001      9.42000      0.62001   4      9.52676
      0.33000     -8.36790     -4.57000   2      9.54021
      7.08002     -5.78790      2.77999   3      9.55797
      9.26002     -3.00790      1.16999   4      9.80634
     -3.76999     -9.03791     -0.86999   3      9.83125
      1.68999      7.24000     -6.51000   2      9.88199
     -8.21999     -5.15790      1.95999   4      9.90019
      1.46000     -9.37791     -2.86999   4      9.91533
     -3.64000      5.03999     -7.73001   3      9.91988
     -2.57000     -7.54790      5.98001   4      9.96676
     -6.45000     -7.39790     -1.77999   4      9.97496
      0.36000      9.27999     -3.64999   4      9.97848
      6.82000      7.27998      0.48000   3      9.98704
      9.20002     -3.82791     -0.76000   2      9.99354
     -9.61789      2.03000     -1.92001   4     10.01554
     -4.70999      6.92999     -5.49001   4     10.01743
     -1.00000     -8.80791      4.67000   2     10.01940
      9.16001      3.73999      1.91000   4     10.07677
     -8.28999      5.54998     -1.43000   4     10.07825
      0.05001      5.73999      8.30000   3     10.09158
     -3.94000      2.01999     -9.13001   4     10.14697
     -6.10999      8.05998      0.97000   4     10.16052
     -7.06999      6.30999      3.80999   3     10.21355
     -7.48998     -0.76000     -6.92999   2     10.23241
      6.73000     -4.01791     -6.58000   4     10.23392
     -0.45000      9.54998      3.73000   3     10.26244
     -2.60000      4.95999      8.62001   4     10.27940
     -4.66000      0.07999     -9.16999   2     10.28644
     10.09000      0.36998      1.98001   3     10.28910
     -7.34999      3.30998      6.40001   2     10.29264
      4.60000      9.18999      0.85000   4     10.31205
     -1.88999     -9.90790      2.70000   4     10.44167
      3.45000     -9.84790      0.47001   4     10.44531
     -0.94000      7.78000     -6.96000   4     10.48110
     -7.18000     -6.90792      3.27000   1     10.48640
     -3.49001      1.57000      9.78000   3     10.50206
      8.69000     -5.66790     -1.85000   4     10.53867
     10.38002     -1.45002     -1.98001   4     10.66620
      1.79000      5.99998     -8.66000   4     10.68641
     -7.60000     -6.74791     -3.43999   2     10.72977
     -6.64001     -5.02792      6.80001   3     10.75220
     -1.64999     -9.66790     -4.40999   4     10.75355
     -1.79000      4.01999     -9.86789   4     10.80462
      1.20001     -8.51790     -6.55001   4     10.81190
      2.82000     -7.44792      7.36000   4     10.84405
      2.80001     10.27999     -2.03000   3     10.84615
      8.60000     -2.42790      6.22999   2     10.89346
      8.42000     -4.49791      5.25999   4     10.89932
      9.90000     -1.25001      4.55000   4     10.96700
      3.06000      6.15999      8.64001   4     11.04349
      5.61001     -7.18790     -6.30000   4     11.08278
     -3.24000      9.66000     -4.37001   4     11.08648
    -10.21788      1.39000      4.16999   4     11.12322
      0.17001      5.34999     -9.78000   2     11.14898
      8.44001      4.31999      5.88000   3     11.15664
    -10.38790     -4.07791     -1.18000   4     11.22186
     -9.65789     -5.71791      0.15000   2     11.22461
     -1.40999    -11.10791     -1.40000   4     11.28423
     -4.55000     -9.31791      4.69000   3     11.38078
     -8.66790      1.42000      7.24000   4     11.38273
     -7.58999      5.39000      6.61999   4     11.42297
     -9.41790      4.51998     -4.64999   4     11.43457
     -1.40999     11.27999     -1.40000   4     11.45365
     -1.36000     10.75998     -3.69000   2     11.45613
     -3.79000     -1.31001    -10.75790   4     11.48097
      3.06000    -10.51790      3.45000   3     11.48444
    -10.24790     -0.39002      5.18000   2     11.48930
      9.80001     -1.79000     -5.88999   4     11.57309
      3.83001      8.51000      6.96000   3     11.64176
     -9.23790     -2.28001     -6.72000   4     11.64884
      6.80001      4.96998     -8.06000   3     11.65781
     -6.79000     -9.07791      2.84000   4     11.68667
